"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Travis Kelce (KC)","16","97","1,229","12.7","819","8.4","0","0.0","410","4.2","155","1.6","6","136","24.4%","108","8","19","59","13","5","3","0","47"
"2","Mark Andrews (BAL)","15","64","852","13.3","561","8.8","0","0.0","291","4.5","95","1.5","3","98","23.1%","73","7","14","28","16","7","1","1","51"
"3","George Kittle (SF)","14","85","1,053","12.4","451","5.3","0","0.0","602","7.1","218","2.6","8","107","22.9%","87","2","16","45","16","6","2","1","61"
"4","Darren Waller (MIA)","16","90","1,145","12.7","575","6.4","0","0.0","570","6.3","179","2.0","8","117","23.8%","95","5","11","45","14","6","2","1","75"
"5","Zach Ertz (WAS)","15","88","916","10.4","661","7.5","0","0.0","255","2.9","79","0.9","5","135","22.4%","95","5","16","39","12","1","0","0","30"
"6","Jared Cook (FA)","14","43","705","16.4","451","10.5","0","0.0","254","5.9","151","3.5","3","65","11.6%","49","4","9","27","15","5","2","1","61"
"7","Austin Hooper (NE)","13","75","787","10.5","452","6.0","0","0.0","335","4.5","109","1.5","5","97","14.8%","76","1","18","34","8","3","0","0","35"
"8","Hunter Henry (NE)","12","55","652","11.9","488","8.9","0","0.0","164","3.0","47","0.9","0","76","13.2%","60","4","10","32","8","1","0","0","30"
"9","Tyler Higbee (LAR)","15","69","734","10.6","338","4.9","0","0.0","396","5.7","87","1.3","5","89","14.5%","71","2","19","29","11","2","0","0","33"
"10","Dallas Goedert (PHI)","15","58","607","10.5","276","4.8","0","0.0","331","5.7","112","1.9","5","87","14.4%","63","5","11","25","8","0","0","0","28"
"11","Mike Gesicki (CIN)","16","51","570","11.2","408","8.0","0","0.0","162","3.2","45","0.9","0","89","14.7%","53","0","11","27","7","3","0","0","34"
"12","Jason Witten (FA)","16","63","529","8.4","367","5.8","0","0.0","162","2.6","46","0.7","0","83","14.4%","70","6","10","15","2","1","0","0","33"
"13","Darren Fells (FA)","16","34","341","10.0","173","5.1","0","0.0","168","4.9","59","1.7","2","48","9.3%","39","3","12","16","2","0","0","0","24"
"14","Kyle Rudolph (FA)","16","39","367","9.4","177","4.5","0","0.0","190","4.9","52","1.3","1","48","10.9%","39","0","11","16","3","1","0","0","32"
"15","Greg Olsen (FA)","14","52","597","11.5","396","7.6","0","0.0","201","3.9","42","0.8","2","82","13.7%","57","3","12","24","6","2","1","0","41"
"16","Noah Fant (CIN)","16","40","562","14.1","232","5.8","0","0.0","330","8.3","125","3.1","3","66","13.7%","46","5","9","21","10","4","3","1","75"
"17","Jonnu Smith (PIT)","16","35","439","12.5","166","4.7","0","0.0","273","7.8","150","4.3","6","44","10.3%","37","2","6","14","8","3","2","1","57"
"18","Jack Doyle (FA)","16","43","448","10.4","232","5.4","0","0.0","216","5.0","45","1.0","0","72","14.8%","47","3","13","21","4","0","0","0","23"
"19","Evan Engram (DEN)","8","44","467","10.6","215","4.9","0","0.0","252","5.7","89","2.0","2","68","11.6%","54","3","9","17","4","3","1","1","75"
"20","Ryan Griffin (FA)","13","34","320","9.4","138","4.1","0","0.0","182","5.4","57","1.7","2","41","8.3%","36","2","6","14","4","1","1","0","45"
"21","Tyler Eifert (FA)","16","43","436","10.1","312","7.3","0","0.0","124","2.9","23","0.5","1","63","10.7%","48","5","9","18","4","0","0","0","27"
"22","Jimmy Graham (FA)","16","38","447","11.8","204","5.4","0","0.0","243","6.4","78","2.1","2","60","11.1%","40","2","10","17","7","1","1","0","48"
"23","Eric Ebron (FA)","11","31","375","12.1","220","7.1","0","0.0","155","5.0","48","1.5","0","52","10.7%","36","5","10","13","4","3","1","0","48"
"24","Cameron Brate (FA)","16","36","311","8.6","221","6.1","0","0.0","90","2.5","50","1.4","1","55","9.1%","40","2","7","14","1","1","0","0","37"
"25","Blake Jarwin (FA)","16","31","365","11.8","208","6.7","0","0.0","157","5.1","35","1.1","1","41","7.1%","33","1","2","13","8","2","1","0","42"
"26","Jordan Akins (FA)","16","36","418","11.6","172","4.8","0","0.0","246","6.8","116","3.2","6","55","10.6%","40","4","6","19","4","1","1","1","53"
"27","Jacob Hollister (FA)","11","41","349","8.5","180","4.4","0","0.0","169","4.1","31","0.8","3","59","11.9%","42","1","11","14","3","0","0","0","22"
"28","Gerald Everett (FA)","13","37","408","11.0","230","6.2","0","0.0","178","4.8","60","1.6","9","60","9.8%","37","0","8","16","6","3","0","0","33"
"29","Dawson Knox (BUF)","15","28","388","13.9","244","8.7","0","0.0","144","5.1","82","2.9","3","50","10.3%","41","10","6","14","7","3","1","0","49"
"30","Will Dissly (LAC)","6","23","262","11.4","192","8.3","0","0.0","70","3.0","33","1.4","0","27","5.5%","23","0","5","12","3","1","0","0","38"
"31","O.J. Howard (FA)","14","34","459","13.5","309","9.1","0","0.0","150","4.4","70","2.1","2","53","8.7%","39","5","8","23","8","3","0","0","33"
"32","T.J. Hockenson (MIN)","12","32","367","11.5","167","5.2","0","0.0","200","6.3","61","1.9","4","59","10.7%","35","2","7","15","6","1","0","0","39"
"33","Foster Moreau (NO)","13","21","174","8.3","77","3.7","0","0.0","97","4.6","28","1.3","4","25","5.1%","21","0","7","8","1","0","0","0","23"
"34","Hayden Hurst (FA)","16","30","349","11.6","201","6.7","0","0.0","148","4.9","43","1.4","1","39","9.2%","30","0","6","15","4","1","1","1","61"
"35","Vance McDonald (FA)","14","38","273","7.2","101","2.7","0","0.0","172","4.5","63","1.7","1","55","11.3%","41","3","9","10","2","0","0","0","22"
"36","Ricky Seals-Jones (FA)","14","14","229","16.4","134","9.6","0","0.0","95","6.8","13","0.9","0","22","4.3%","15","1","6","8","5","2","1","1","59"
"37","Kaden Smith (FA)","9","31","268","8.6","177","5.7","0","0.0","91","2.9","37","1.2","1","42","7.1%","32","1","6","10","3","1","0","0","32"
"38","Nick Boyle (FA)","16","31","321","10.4","161","5.2","0","0.0","160","5.2","67","2.2","0","43","10.1%","36","2","6","12","4","1","0","0","35"
"39","Irv Smith Jr. (HOU)","16","36","311","8.6","175","4.9","0","0.0","136","3.8","39","1.1","0","47","10.6%","37","1","10","13","5","0","0","0","29"
"40","Josh Hill (FA)","16","25","226","9.0","67","2.7","0","0.0","159","6.4","38","1.5","0","35","6.3%","26","1","12","8","4","0","0","0","29"
"41","C.J. Uzomah (FA)","16","27","242","9.0","107","4.0","0","0.0","135","5.0","30","1.1","1","40","6.8%","29","2","11","9","2","1","0","0","36"
"42","Demetrius Harris (FA)","15","15","149","9.9","81","5.4","0","0.0","68","4.5","20","1.3","3","27","5.2%","20","5","7","8","2","0","0","0","23"
"43","Delanie Walker (FA)","7","21","215","10.2","149","7.1","0","0.0","66","3.1","20","1.0","0","31","7.2%","23","2","5","11","1","0","0","0","29"
"44","Jeremy Sprinkle (FA)","16","26","241","9.3","150","5.8","0","0.0","91","3.5","33","1.3","0","40","8.6%","30","4","4","10","2","0","0","0","23"
"45","Charles Clay (FA)","15","18","237","13.2","142","7.9","0","0.0","95","5.3","25","1.4","2","24","4.5%","19","0","5","8","4","1","1","0","47"
"46","James O'Shaughnessy (FA)","5","14","153","10.9","69","4.9","0","0.0","84","6.0","27","1.9","2","20","3.6%","14","0","4","5","1","1","0","0","35"
"47","Anthony Firkser (FA)","15","14","204","14.6","133","9.5","0","0.0","71","5.1","25","1.8","0","24","5.6%","17","1","4","7","5","1","0","0","39"
"48","Maxx Williams (FA)","16","15","202","13.5","98","6.5","0","0.0","104","6.9","57","3.8","3","19","3.6%","16","1","3","8","5","0","0","0","28"
"49","Dan Arnold (FA)","6","8","127","15.9","98","12.3","0","0.0","29","3.6","8","1.0","0","14","2.5%","8","0","3","5","3","1","0","0","37"
"50","Logan Thomas (FA)","16","16","173","10.8","100","6.3","0","0.0","73","4.6","17","1.1","0","28","5.1%","17","0","5","10","0","0","0","0","17"
"51","Rhett Ellison (FA)","10","18","167","9.3","84","4.7","0","0.0","83","4.6","47","2.6","2","28","4.8%","20","2","2","4","3","1","0","0","31"
"52","Marcedes Lewis (FA)","16","15","156","10.4","74","4.9","0","0.0","82","5.5","21","1.4","0","19","3.5%","15","0","2","7","2","0","0","0","25"
"53","Ross Dwelley (SF)","16","15","91","6.1","51","3.4","0","0.0","40","2.7","14","0.9","0","22","4.7%","16","0","3","3","1","0","0","0","25"
"54","Jaeden Graham (FA)","16","9","149","16.6","76","8.4","0","0.0","73","8.1","20","2.2","1","10","1.5%","9","0","1","7","3","1","1","1","53"
"55","Ian Thomas (LV)","16","16","136","8.5","63","3.9","0","0.0","73","4.6","15","0.9","0","30","5.0%","19","3","2","7","0","0","0","0","19"
"56","Derek Carrier (FA)","16","13","108","8.3","57","4.4","0","0.0","51","3.9","9","0.7","0","19","3.9%","14","1","4","3","2","0","0","0","25"
"57","Matt LaCosse (FA)","12","13","131","10.1","85","6.5","0","0.0","46","3.5","16","1.2","0","19","3.2%","15","2","3","5","3","0","0","0","24"
"58","Vernon Davis (FA)","4","10","123","12.3","43","4.3","0","0.0","80","8.0","42","4.2","2","19","4.1%","12","1","3","4","1","1","1","0","48"
"59","Ryan Izzo (FA)","6","6","114","19.0","64","10.7","0","0.0","50","8.3","11","1.8","0","9","1.5%","6","0","1","5","3","1","1","0","41"
"60","Jeff Heuerman (FA)","14","14","114","8.1","72","5.1","0","0.0","42","3.0","15","1.1","1","20","4.2%","14","0","4","4","1","0","0","0","26"
"61","Benjamin Watson (FA)","10","17","173","10.2","90","5.3","0","0.0","83","4.9","28","1.6","2","24","4.1%","19","2","3","7","3","0","0","0","26"
"62","Nick O'Leary (FA)","12","13","109","8.4","70","5.4","0","0.0","39","3.0","16","1.2","0","18","3.0%","16","1","3","4","0","0","0","0","19"
"63","Nick Vannett (FA)","16","17","166","9.8","100","5.9","0","0.0","66","3.9","17","1.0","2","22","4.5%","17","0","2","8","0","0","0","0","18"
"64","Hale Hentges (FA)","11","8","103","12.9","56","7.0","0","0.0","47","5.9","12","1.5","0","14","3.0%","10","2","4","6","2","0","0","0","24"
"65","Robert Tonyan (KC)","11","10","100","10.0","74","7.4","0","0.0","26","2.6","6","0.6","0","15","2.8%","10","0","2","4","2","0","0","0","28"
"66","Andrew Beck (NYJ)","16","9","90","10.0","23","2.6","0","0.0","67","7.4","12","1.3","0","12","2.5%","10","1","2","5","1","0","0","0","29"
"67","MyCole Pruitt (FA)","16","6","90","15.0","25","4.2","0","0.0","65","10.8","29","4.8","0","8","1.9%","7","0","2","4","2","1","1","0","42"
"68","Joshua Perkins (FA)","5","9","87","9.7","61","6.8","0","0.0","26","2.9","14","1.6","0","13","2.2%","9","0","0","3","1","0","0","0","24"
"69","Jesse James (FA)","16","16","142","8.9","77","4.8","0","0.0","65","4.1","16","1.0","1","27","4.9%","18","2","2","6","1","0","0","0","23"
"70","Seth DeValve (FA)","12","12","140","11.7","79","6.6","0","0.0","61","5.1","19","1.6","0","18","3.2%","13","1","4","8","1","0","0","0","20"
"71","Virgil Green (FA)","15","9","78","8.7","39","4.3","0","0.0","39","4.3","21","2.3","1","13","2.3%","9","0","2","3","0","0","0","0","15"
"72","Daniel Brown (FA)","16","7","72","10.3","51","7.3","0","0.0","21","3.0","5","0.7","0","11","2.2%","8","1","1","2","2","0","0","0","24"
"73","Tyler Kroft (FA)","12","6","71","11.8","44","7.3","0","0.0","27","4.5","15","2.5","0","14","2.9%","8","1","3","4","1","0","0","0","20"
"74","Jesper Horsted (FA)","6","8","87","10.9","57","7.1","0","0.0","30","3.8","11","1.4","1","10","1.8%","8","0","3","3","1","0","0","0","20"
"75","Ben Braunecker (FA)","11","6","59","9.8","34","5.7","0","0.0","25","4.2","4","0.7","0","11","1.9%","7","1","1","2","0","0","0","0","18"
"76","Tommy Sweeney (FA)","6","8","114","14.3","76","9.5","0","0.0","38","4.8","11","1.4","1","13","2.7%","9","1","2","5","3","0","0","0","29"
"77","Stephen Carlson (CHI)","9","5","51","10.2","30","6.0","0","0.0","21","4.2","11","2.2","1","7","1.4%","5","0","1","1","1","0","0","0","21"
"78","David Njoku (CLE)","4","5","41","8.2","25","5.0","0","0.0","16","3.2","7","1.4","0","10","1.9%","7","2","2","1","0","0","0","0","18"
"79","Troy Fumagalli (FA)","11","6","38","6.3","24","4.0","0","0.0","14","2.3","2","0.3","0","9","1.9%","6","0","1","0","0","0","0","0","9"
"80","Mo Alie-Cox (IND)","16","8","93","11.6","33","4.1","0","0.0","60","7.5","7","0.9","0","11","2.3%","8","0","1","5","1","0","0","0","21"
"81","J.P. Holtz (FA)","15","7","91","13.0","12","1.7","0","0.0","79","11.3","17","2.4","1","8","1.7%","8","1","0","4","1","1","0","0","30"
"82","Lee Smith (FA)","16","4","31","7.8","22","5.5","0","0.0","9","2.3","3","0.8","0","5","1.0%","5","1","1","0","0","0","0","0","9"
"83","Trey Burton (FA)","9","14","84","6.0","48","3.4","0","0.0","36","2.6","2","0.1","0","24","4.2%","18","2","2","4","0","0","0","0","16"
"84","Luke Willson (FA)","9","8","79","9.9","41","5.1","0","0.0","38","4.8","12","1.5","1","10","2.0%","8","0","1","4","0","0","0","0","17"
"85","Adam Shaheen (FA)","8","9","74","8.2","36","4.0","0","0.0","38","4.2","6","0.7","1","13","2.3%","9","0","3","1","0","0","0","0","18"
"86","Blake Bell (FA)","15","8","67","8.4","58","7.3","0","0.0","9","1.1","7","0.9","1","15","2.7%","11","3","0","3","1","1","0","0","30"
"87","Durham Smythe (CHI)","16","7","65","9.3","55","7.9","0","0.0","10","1.4","3","0.4","0","14","2.3%","8","1","1","2","1","0","0","0","24"
"88","Geoff Swaim (FA)","6","13","65","5.0","19","1.5","0","0.0","46","3.5","15","1.2","0","17","3.0%","14","1","1","0","0","0","0","0","9"
"89","Clive Walford (FA)","8","4","57","14.3","30","7.5","0","0.0","27","6.8","21","5.3","0","8","1.3%","7","3","0","3","0","0","0","0","19"
"90","Tyler Conklin (LAC)","16","8","58","7.3","40","5.0","0","0.0","18","2.3","3","0.4","0","10","2.3%","8","0","0","2","1","0","0","0","20"
"91","Luke Stocker (FA)","15","8","53","6.6","17","2.1","0","0.0","36","4.5","19","2.4","0","14","2.1%","10","2","2","2","0","0","0","0","18"
"92","Deon Yelder (FA)","10","3","50","16.7","18","6.0","0","0.0","32","10.7","11","3.7","0","4","0.7%","3","0","0","2","1","0","0","0","24"
"93","Lance Kendricks (FA)","12","3","50","16.7","43","14.3","0","0.0","7","2.3","2","0.7","0","7","1.2%","3","0","1","3","1","0","0","0","24"
"94","Ross Travis (FA)","3","4","51","12.8","20","5.0","0","0.0","31","7.8","3","0.8","0","6","1.2%","4","0","1","2","1","0","0","0","25"
"95","Drew Sample (CIN)","9","5","30","6.0","14","2.8","0","0.0","16","3.2","5","1.0","0","6","1.0%","5","0","0","1","1","0","0","0","21"
"96","Johnny Mundt (JAC)","14","4","26","6.5","16","4.0","0","0.0","10","2.5","2","0.5","0","7","1.1%","5","1","0","0","0","0","0","0","9"
"97","Tanner Hudson (CIN)","9","2","26","13.0","24","12.0","0","0.0","2","1.0","1","0.5","0","5","0.8%","3","1","2","2","0","0","0","0","14"
"98","Josh Oliver (MIN)","4","3","15","5.0","10","3.3","0","0.0","5","1.7","3","1.0","0","6","1.1%","4","1","1","0","0","0","0","0","6"
""
""