Player Name,Team,"Injury
Risk","Career
Injuries","Injuries
Per Season","Injury Risk
Per Season","Injury Risk
Per Game",Durability,"PPR
Points","Projected
Games
Missed"
Ja'Marr Chase,CIN,High Risk,4,1.0/yr,75.10%,7.90%,5,347,1.8
CeeDee Lamb,DAL,Medium Risk,7,1.4/yr,50.20%,4.00%,5,329,1.3
Puka Nacua,LAR,Medium Risk,8,4.0/yr,68.20%,6.50%,3.5,317,1.8
Justin Jefferson,MIN,High Risk,7,1.4/yr,66.90%,6.30%,5,315,2.3
Malik Nabers,NYG,Low Risk,4,4.0/yr,29.20%,2.00%,5,305,1
Nico Collins,HOU,Very High Risk,7,1.8/yr,82.10%,9.60%,3.1,305,2.1
Brian Thomas Jr.,JAC,Low Risk,2,2.0/yr,30.10%,2.10%,5,298,1.3
A.J. Brown,PHI,High Risk,9,1.5/yr,70.50%,6.90%,5,282,2
Tee Higgins,CIN,Very High Risk,14,2.8/yr,89.20%,12.30%,5,281,2.4
Drake London,ATL,Very High Risk,6,1.5/yr,86.60%,11.20%,5,279,2.4
Amon-Ra St. Brown,DET,Low Risk,6,1.5/yr,39.90%,3.00%,5,276,1.4
Tyreek Hill,MIA,Medium Risk,9,1.0/yr,58.90%,5.10%,5,264,1.8
Mike Evans,TB,Very High Risk,13,1.2/yr,81.50%,9.40%,5,257,2.4
Ladd McConkey,LAC,Medium Risk,3,3.0/yr,55.40%,4.60%,4.3,254,1.2
Rashee Rice,KC,Low Risk,2,1.0/yr,37.30%,2.70%,5,253,1.1
Davante Adams,LAR,Medium Risk,11,1.0/yr,43.60%,3.30%,5,249,0.6
Jaxon Smith-Njigba,SEA,Low Risk,2,1.0/yr,39.90%,3.00%,3,239,1.2
Terry McLaurin,WAS,Medium Risk,7,1.2/yr,42.70%,3.20%,5,238,1
D.J. Moore,CHI,Medium Risk,5,0.7/yr,44.80%,3.40%,5,238,1.1
Jaylen Waddle,MIA,Medium Risk,6,1.5/yr,55.40%,4.60%,4.3,237,2.2
D.K. Metcalf,PIT,Low Risk,8,1.3/yr,31.10%,2.20%,4.9,237,0.8
Garrett Wilson,NYJ,Low Risk,3,0.8/yr,38.10%,2.80%,5,236,0.7
Zay Flowers,BAL,Low Risk,3,1.5/yr,35.60%,2.60%,5,234,1.9
Courtland Sutton,DEN,High Risk,7,1.0/yr,70.40%,6.90%,2.9,232,2.2
Marvin Harrison Jr.,ARI,Medium Risk,4,4.0/yr,42.80%,3.20%,5,232,1.3
Xavier Worthy,KC,Low Risk,3,3.0/yr,36.90%,2.70%,5,231,0.9
DeVonta Smith,PHI,Very High Risk,10,2.5/yr,81.80%,9.50%,5,229,2.4
George Pickens,DAL,Low Risk,3,0.8/yr,34.70%,2.50%,3.7,227,1.6
Calvin Ridley,TEN,Low Risk,3,0.4/yr,29.40%,2.00%,5,223,0.5
Jameson Williams,DET,Medium Risk,4,1.3/yr,43.40%,3.30%,4,222,1.3
Jakobi Meyers,LVR,High Risk,5,0.8/yr,67.30%,6.40%,5,220,1.4
Chris Godwin,TB,High Risk,9,1.1/yr,73.50%,7.50%,5,218,2
Chris Olave,NO,High Risk,7,1.8/yr,68.70%,6.60%,5,217,1.4
Deebo Samuel,WAS,Very High Risk,19,3.2/yr,86.60%,11.20%,1.6,216,3.4
Khalil Shakir,BUF,Low Risk,5,1.3/yr,29.90%,2.10%,5,214,0.4
Jauan Jennings,SF,Very Low Risk,4,0.8/yr,13.50%,0.80%,5,204,0.7
Jayden Reed,GB,Very High Risk,6,3.0/yr,82.80%,9.80%,5,204,2.2
Jerry Jeudy,CLE,Medium Risk,9,1.8/yr,45.20%,3.50%,5,200,1.2
Jordan Addison,MIN,High Risk,5,2.5/yr,69.80%,6.80%,5,198,1.9
Rome Odunze,CHI,High Risk,3,3.0/yr,61.30%,5.40%,5,196,2.4
Josh Downs,IND,Medium Risk,5,2.5/yr,57.60%,4.90%,5,189,1.5
Stefon Diggs,NE,Low Risk,8,0.8/yr,31.50%,2.20%,5,189,0.6
Darnell Mooney,ATL,Very High Risk,9,1.8/yr,85.00%,10.60%,5,183,2.8
Michael Pittman Jr.,IND,High Risk,11,2.2/yr,70.10%,6.90%,5,182,1.6
Marquise Brown,KC,Very High Risk,13,2.2/yr,78.00%,8.50%,5,175,2.4
Rashid Shaheed,NO,High Risk,4,1.0/yr,65.90%,6.10%,5,175,1.3
Christian Kirk,HOU,Very High Risk,6,0.9/yr,86.10%,11.00%,5,174,2.8
Cooper Kupp,SEA,Medium Risk,10,1.3/yr,53.80%,4.40%,4.2,171,1.4
Romeo Doubs,GB,Medium Risk,7,1.8/yr,43.20%,3.30%,5,168,1.1
Keon Coleman,BUF,Low Risk,2,2.0/yr,37.60%,2.70%,5,167,1.4
Quentin Johnston,LAC,Low Risk,5,2.5/yr,37.60%,2.70%,5,158,0.7
Marvin Mims Jr.,DEN,Very Low Risk,0,0.0/yr,22.60%,1.50%,5,156,0.8
Diontae Johnson,CLE,Very High Risk,9,1.5/yr,80.30%,9.10%,5,155,2
Wan'Dale Robinson,NYG,Low Risk,5,1.3/yr,39.40%,2.90%,2.5,153,1
Adam Thielen,CAR,Medium Risk,8,0.7/yr,45.30%,3.50%,5,151,1.9
Keenan Allen,UNS,High Risk,16,1.3/yr,74.90%,7.80%,3.8,151,3.1
Joshua Palmer,BUF,High Risk,4,1.0/yr,73.70%,7.60%,5,151,1.7
Michael Wilson,ARI,Medium Risk,6,3.0/yr,44.80%,3.40%,1.6,148,1.6
Brandon Aiyuk,SF,Medium Risk,6,1.2/yr,45.30%,3.50%,5,148,2.9
Xavier Legette,CAR,Medium Risk,6,6.0/yr,44.40%,3.40%,3.6,147,1.5
Rashod Bateman,BAL,High Risk,5,1.3/yr,64.70%,5.90%,2.1,145,1.1
Cedric Tillman,CLE,Low Risk,3,1.5/yr,35.80%,2.60%,4.4,145,0.6
Amari Cooper,UNS,High Risk,19,1.9/yr,73.70%,7.60%,5,142,2.8
Demario Douglas,NE,High Risk,2,1.0/yr,62.60%,5.60%,3.7,141,1.6
Darius Slayton,NYG,High Risk,10,1.7/yr,74.20%,7.70%,5,136,2.6
Alec Pierce,IND,Low Risk,4,1.0/yr,39.20%,2.90%,5,116,1.1
Dontayvion Wicks,GB,Medium Risk,3,1.5/yr,44.20%,3.40%,5,116,1.7
Dyami Brown,JAC,Low Risk,3,0.8/yr,29.20%,2.00%,5,115,0.6
Tyler Lockett,TEN,Low Risk,7,0.7/yr,25.70%,1.70%,5,111,0.6
DeAndre Hopkins,BAL,High Risk,16,1.3/yr,73.70%,7.60%,5,108,2.1
Tutu Atwell,LAR,Low Risk,2,0.5/yr,35.90%,2.60%,4.7,105,0.9
Josh Reynolds,NYJ,Very Low Risk,1,0.1/yr,15.80%,1.00%,5,105,0.8
Andrei Iosivas,CIN,Very Low Risk,0,0.0/yr,13.90%,0.90%,5,100,0.4
Mack Hollins,NE,Very Low Risk,0,0.0/yr,11.80%,0.70%,5,97,0.7
Calvin Austin III,PIT,Low Risk,3,0.8/yr,23.30%,1.50%,1.7,94,0.5
Curtis Samuel,BUF,Very High Risk,10,1.3/yr,82.70%,9.80%,4.7,93,2.7
Roman Wilson,PIT,Low Risk,2,2.0/yr,27.20%,1.90%,5,93,0.9
Troy Franklin,DEN,Very Low Risk,1,1.0/yr,22.60%,1.50%,5,91,1
Marquez Valdes-Scantling,SEA,Low Risk,9,1.3/yr,38.20%,2.80%,5,90,2.6
Gabriel Davis,UNS,Medium Risk,6,1.2/yr,41.50%,3.10%,5,89,0.9
Brandin Cooks,NO,Low Risk,8,0.7/yr,33.60%,2.40%,5,88,1
Tim Patrick,DET,Very Low Risk,2,0.3/yr,18.40%,1.20%,2.1,86,0.4
Allen Lazard,NYJ,Low Risk,6,0.9/yr,29.40%,2.00%,5,84,0.7
Van Jefferson,TEN,Low Risk,7,1.4/yr,29.20%,2.00%,5,81,1.1
Kalif Raymond,DET,Very Low Risk,0,0.0/yr,13.40%,0.80%,5,75,0.9
Adonai Mitchell,IND,Low Risk,1,1.0/yr,28.10%,1.90%,1.3,74,0.8
Kendrick Bourne,NE,Low Risk,1,0.1/yr,29.20%,2.00%,5,74,0.9
Greg Dortch,ARI,Low Risk,1,0.2/yr,36.30%,2.60%,5,74,1.4
Luke McCaffrey,WAS,Very Low Risk,0,0.0/yr,10.80%,0.70%,5,70,1.7
Tyler Boyd,UNS,Low Risk,4,0.4/yr,31.40%,2.20%,5,67,1
Michael Gallup,WAS,Very Low Risk,5,0.8/yr,20.90%,1.40%,5,66,0.9
Jonathan Mingo,DAL,Medium Risk,4,2.0/yr,58.70%,5.10%,5,64,1.5
Nelson Agholor,UNS,Medium Risk,7,0.7/yr,41.90%,3.10%,5,62,1
Treylon Burks,UNS,High Risk,9,2.3/yr,59.10%,5.10%,3.4,58,2.2
Elijah Moore,BUF,High Risk,6,1.5/yr,68.90%,6.60%,5,58,1.8
Robert Woods,PIT,Medium Risk,14,1.2/yr,58.50%,5.00%,5,57,1.7
Hunter Renfrow,CAR,Low Risk,5,0.8/yr,29.20%,2.00%,4.7,56,0.8
Rondale Moore,MIN,High Risk,8,2.0/yr,71.80%,7.20%,1.4,54,1.8
Devontez Walker,BAL,Very Low Risk,1,1.0/yr,21.00%,1.40%,1.3,54,0.7
Malachi Corley,NYJ,Low Risk,1,1.0/yr,25.30%,1.70%,5,51,0.6
D.J. Chark Jr.,ATL,Medium Risk,13,1.6/yr,54.90%,4.60%,4.5,51,1.5
Zay Jones,ARI,Medium Risk,9,1.1/yr,58.20%,5.00%,5,51,2.4
Christian Watson,GB,High Risk,10,2.5/yr,74.90%,7.80%,3.3,48,2.1
JuJu Smith-Schuster,KC,High Risk,17,2.1/yr,72.10%,7.20%,4.4,48,2.1
Jermaine Burton,CIN,Medium Risk,3,3.0/yr,54.40%,4.50%,5,47,1.3
John Metchie,HOU,Low Risk,5,1.3/yr,29.20%,2.00%,5,43,0.9
Olamide Zaccheaus,CHI,Very Low Risk,0,0.0/yr,9.10%,0.60%,5,42,0.8
Jahan Dotson,PHI,Medium Risk,1,0.3/yr,47.60%,3.70%,5,40,2.3
Jalin Hyatt,NYG,Medium Risk,3,1.5/yr,45.40%,3.50%,5,37,1.4
Mecole Hardman,GB,Very High Risk,3,0.5/yr,86.20%,11.00%,5,33,2.7
Justin Watson,HOU,Low Risk,3,0.4/yr,29.20%,2.00%,5,31,1.2
Devin Duvernay,CHI,Very Low Risk,0,0.0/yr,11.80%,0.70%,5,26,0.9
Johnny Wilson,PHI,Low Risk,3,3.0/yr,28.20%,1.90%,4.9,20,1.1
Trey Palmer,TB,Very Low Risk,0,0.0/yr,21.00%,1.40%,5,19,0.7
Skyy Moore,KC,Very High Risk,3,0.8/yr,83.50%,10.10%,4.6,18,2.4
Laviska Shenault,BUF,Low Risk,7,1.2/yr,38.50%,2.80%,4.7,0,1.7
Mike Williams,LAC,Very High Risk,10,1.3/yr,79.70%,9.00%,2.4,0,3.4