PLAYER NAME,TEAM,POS,AGE
Ja'Marr Chase,CIN,WR1,25
Justin Jefferson,MIN,WR2,26
Bijan Robinson,ATL,RB1,23
Malik Nabers,NYG,WR3,22
CeeDee Lamb,DAL,WR4,26
Jahmyr Gibbs,DET,RB2,23
Amon-Ra St. Brown,DET,WR5,25
Puka Nacua,LAR,WR6,24
Brian Thomas Jr.,JAC,WR7,22
Ashton Jeanty,LV,RB3,21
Nico Collins,HOU,WR8,26
Drake London,ATL,WR9,24
Saquon Barkley,PHI,RB4,28
De'Von Achane,MIA,RB5,23
Brock Bowers,LV,TE1,22
Ladd McConkey,LAC,WR10,23
A.J. Brown,PHI,WR11,28
Garrett Wilson,NYJ,WR12,25
Jaxon Smith-Njigba,SEA,WR13,23
Josh Allen,BUF,QB1,29
Marvin Harrison Jr.,ARI,WR14,22
Breece Hall,NYJ,RB6,24
Lamar Jackson,BAL,QB2,28
Omarion Hampton,LAC,RB7,22
Jayden Daniels,WAS,QB3,24
Trey McBride,ARI,TE2,25
Jonathan Taylor,IND,RB8,26
Bucky Irving,TB,RB9,22
Tee Higgins,CIN,WR15,26
Travis Hunter,JAC,WR16,22
Tetairoa McMillan,CAR,WR17,22
Joe Burrow,CIN,QB4,28
Rashee Rice,KC,WR18,25
DeVonta Smith,PHI,WR19,26
Jalen Hurts,PHI,QB5,27
Kyren Williams,LAR,RB10,24
Zay Flowers,BAL,WR20,24
Sam LaPorta,DET,TE3,24
James Cook,BUF,RB11,25
DK Metcalf,PIT,WR21,27
Patrick Mahomes II,KC,QB6,29
Rome Odunze,CHI,WR22,23
Chase Brown,CIN,RB12,25
Josh Jacobs,GB,RB13,27
Jordan Addison,MIN,WR23,23
DJ Moore,CHI,WR24,28
Terry McLaurin,WAS,WR25,29
TreVeyon Henderson,NE,RB14,22
Kenneth Walker III,SEA,RB15,24
Jaylen Waddle,MIA,WR26,26
Xavier Worthy,KC,WR27,22
Justin Herbert,LAC,QB7,27
Chris Olave,NO,WR28,25
Christian McCaffrey,SF,RB16,29
George Kittle,SF,TE4,31
Jameson Williams,DET,WR29,24
T.J. Hockenson,MIN,TE5,28
Emeka Egbuka,TB,WR30,22
Tyler Warren,IND,TE6,23
Derrick Henry,BAL,RB17,31
Bo Nix,DEN,QB8,25
Colston Loveland,CHI,TE7,21
Caleb Williams,CHI,QB9,23
Drake Maye,NE,QB10,22
Kaleb Johnson,PIT,RB18,21
George Pickens,DAL,WR31,24
C.J. Stroud,HOU,QB11,23
Quinshon Judkins,CLE,RB19,21
Tyreek Hill,MIA,WR32,31
RJ Harvey,DEN,RB20,24
Jerry Jeudy,CLE,WR33,26
Davante Adams,LAR,WR34,32
Chuba Hubbard,CAR,RB21,26
Brandon Aiyuk,SF,WR35,27
Mike Evans,TB,WR36,31
Tucker Kraft,GB,TE8,24
David Njoku,CLE,TE9,29
Jordan Love,GB,QB12,26
David Montgomery,DET,RB22,28
Mark Andrews,BAL,TE10,29
Luther Burden III,CHI,WR37,21
Kyler Murray,ARI,QB13,28
Matthew Golden,GB,WR38,22
Joe Mixon,HOU,RB23,29
Brock Purdy,SF,QB14,25
Ricky Pearsall,SF,WR39,24
Baker Mayfield,TB,QB15,30
Dalton Kincaid,BUF,TE11,25
Alvin Kamara,NO,RB24,30
Chris Godwin,TB,WR40,29
Khalil Shakir,BUF,WR41,25
Josh Downs,IND,WR42,23
Courtland Sutton,DEN,WR43,29
Jayden Higgins,HOU,WR44,22
Jayden Reed,GB,WR45,25
Tony Pollard,TEN,RB25,28
Tre' Harris,LAC,WR46,23
Michael Pittman Jr.,IND,WR47,27
D'Andre Swift,CHI,RB26,26
Brian Robinson Jr.,WAS,RB27,26
Evan Engram,DEN,TE12,30
Isiah Pacheco,KC,RB28,26
Trevor Lawrence,JAC,QB16,25
Calvin Ridley,TEN,WR48,30
James Conner,ARI,RB29,30
J.J. McCarthy,MIN,QB17,22
Jauan Jennings,SF,WR49,28
Tyrone Tracy Jr.,NYG,RB30,25
Travis Kelce,KC,TE13,35
Jakobi Meyers,LV,WR50,28
Deebo Samuel Sr.,WAS,WR51,29
Jared Goff,DET,QB18,30
Kyle Pitts Sr.,ATL,TE14,24
Cam Skattebo,NYG,RB31,23
Keon Coleman,BUF,WR52,22
Dak Prescott,DAL,QB19,32
Aaron Jones Sr.,MIN,RB32,30
Darnell Mooney,ATL,WR53,27
Travis Etienne Jr.,JAC,RB33,26
Jalen McMillan,TB,WR54,23
Michael Penix Jr.,ATL,QB20,25
Stefon Diggs,NE,WR55,31
Jack Bech,LV,WR56,22
Cameron Ward,TEN,QB21,23
Najee Harris,LAC,RB34,27
Dallas Goedert,PHI,TE15,30
Cooper Kupp,SEA,WR57,32
Zach Charbonnet,SEA,RB35,24
Rashid Shaheed,NO,WR58,26
Trey Benson,ARI,RB36,23
Isaiah Likely,BAL,TE16,25
Kyle Williams,NE,WR59,22
Jake Ferguson,DAL,TE17,26
Jonnu Smith,PIT,TE18,29
Jaylen Warren,PIT,RB37,26
Bryce Young,CAR,QB22,24
Mason Taylor,NYJ,TE19,21
Tua Tagovailoa,MIA,QB23,27
Rhamondre Stevenson,NE,RB38,27
Rashod Bateman,BAL,WR60,25
Justin Fields,NYJ,QB24,26
Christian Kirk,HOU,WR61,28
Cedric Tillman,CLE,WR62,25
Pat Freiermuth,PIT,TE20,26
Romeo Doubs,GB,WR63,25
Rachaad White,TB,RB39,26
Javonte Williams,DAL,RB40,25
Sam Darnold,SEA,QB25,28
Jaylin Noel,HOU,WR64,22
Bhayshul Tuten,JAC,RB41,23
Tyjae Spears,TEN,RB42,24
Jordan Mason,MIN,RB43,26
Xavier Legette,CAR,WR65,24
Tank Bigsby,JAC,RB44,22
Marvin Mims Jr.,DEN,WR66,23
Marquise Brown,KC,WR67,28
Jaxson Dart,NYG,QB26,22
Isaac Guerendo,SF,RB45,25
Cade Otton,TB,TE21,26
Wan'Dale Robinson,NYG,WR68,24
Geno Smith,LV,QB27,34
Anthony Richardson Sr.,IND,QB28,23
Jaylen Wright,MIA,RB46,22
Ray Davis,BUF,RB47,25
Hunter Henry,NE,TE22,30
Tank Dell,HOU,WR69,25
Matthew Stafford,LAR,QB29,37
Quentin Johnston,LAC,WR70,23
Braelon Allen,NYJ,RB48,21
Elijah Arroyo,SEA,TE23,22
Harold Fannin Jr.,CLE,TE24,21
Jaydon Blue,DAL,RB49,21
Terrance Ferguson,LAR,TE25,22
Jalen Royals,KC,WR71,22
Elic Ayomanor,TEN,WR72,22
Adonai Mitchell,IND,WR73,22
Jalen Coker,CAR,WR74,23
J.K. Dobbins,DEN,RB50,26
Cole Kmet,CHI,TE26,26
Dylan Sampson,CLE,RB51,20
Blake Corum,LAR,RB52,24
Joshua Palmer,BUF,WR75,25
Rico Dowdle,CAR,RB53,27
Tyler Allgeier,ATL,RB54,25
DeMario Douglas,NE,WR76,24
Ja'Tavion Sanders,CAR,TE27,22
Christian Watson,GB,WR77,26
Brenton Strange,JAC,TE28,24
Mike Gesicki,CIN,TE29,29
DeAndre Hopkins,BAL,WR78,33
Dontayvion Wicks,GB,WR79,24
MarShawn Lloyd,GB,RB55,24
Jerome Ford,CLE,RB56,25
Zach Ertz,WAS,TE30,34
Chig Okonkwo,TEN,TE31,25
Roschon Johnson,CHI,RB57,24
Theo Johnson,NYG,TE32,24
Tyler Shough,NO,QB30,25
Alec Pierce,IND,WR80,25
Diontae Johnson,CLE,WR81,29
Adam Thielen,CAR,WR82,34
Amari Cooper,FA,WR83,31
Jonathon Brooks,CAR,RB58,22
Michael Wilson,ARI,WR84,25
Keenan Allen,FA,WR85,33
Devin Neal,NO,RB59,21
Dalton Schultz,HOU,TE33,29
Roman Wilson,PIT,WR86,24
Ben Sinnott,WAS,TE34,23
Jalen Milroe,SEA,QB31,22
DJ Giddens,IND,RB60,21
Jarquez Hunter,LAR,RB61,22
Russell Wilson,NYG,QB32,36
Andrei Iosivas,CIN,WR87,25
Nick Chubb,HOU,RB62,29
Pat Bryant,DEN,WR88,22
Austin Ekeler,WAS,RB63,30
Troy Franklin,DEN,WR89,22
Juwan Johnson,NO,TE35,28
Audric Estime,DEN,RB64,21
Elijah Moore,BUF,WR90,25
Tory Horton,SEA,WR91,22
Isaac TeSlaa,DET,WR92,23
Devaughn Vele,DEN,WR93,27
Malik Washington,MIA,WR94,24
Darius Slayton,NYG,WR95,28
Tyler Lockett,TEN,WR96,32
Savion Williams,GB,WR97,23
Jalen Tolbert,DAL,WR98,26
Kendre Miller,NO,RB65,23
Kyle Monangai,CHI,RB66,23
Noah Fant,CIN,TE36,27
Aaron Rodgers,PIT,QB33,41
Daniel Jones,IND,QB34,28
Oronde Gadsden II,LAC,TE37,22
Jaleel McLaughlin,DEN,RB67,24
Brashard Smith,KC,RB68,22
Jordan Whittington,LAR,WR99,24
Ollie Gordon II,MIA,RB69,21
Tahj Brooks,CIN,RB70,23
Shedeur Sanders,CLE,QB35,23
Calvin Austin III,PIT,WR100,26
Xavier Restrepo,TEN,WR101,23
Trevor Etienne,CAR,RB71,21
Kayshon Boutte,NE,WR102,23
Jordan James,SF,RB72,21
Noah Gray,KC,TE38,26
Ja'Lynn Polk,NE,WR103,23
Will Shipley,PHI,RB73,22
Brandin Cooks,NO,WR104,31
Luke McCaffrey,WAS,WR105,24
Parker Washington,JAC,WR106,23
Keaton Mitchell,BAL,RB74,23
Woody Marks,HOU,RB75,24
Damien Martinez,SEA,RB76,21
Jermaine Burton,CIN,WR107,24
Dyami Brown,JAC,WR108,25
Michael Mayer,LV,TE39,24
Miles Sanders,DAL,RB77,28
Dont'e Thornton Jr.,LV,WR109,22
Kareem Hunt,KC,RB78,30
Brandon Aubrey,DAL,K1,30
Tez Johnson,TB,WR110,23
Devin Singletary,NYG,RB79,27
Nick Westbrook-Ikhine,MIA,WR111,28
Tutu Atwell,LAR,WR112,25
Tyler Higbee,LAR,TE40,32
Tyler Conklin,LAC,TE41,30
Isaiah Davis,NYJ,RB80,23
Antonio Gibson,NE,RB81,27
Justice Hill,BAL,RB82,27
Tai Felton,MIN,WR113,22
Harrison Butker,KC,K2,30
Zack Moss,FA,RB83,27
Khalil Herbert,IND,RB84,27
Will Reichard,MIN,K3,24
Los Angeles Rams,LAR,DST1,-
Tre Tucker,LV,WR114,24
Philadelphia Eagles,PHI,DST2,-
Denver Broncos,DEN,DST3,-
Elijah Mitchell,KC,RB85,27
Pittsburgh Steelers,PIT,DST4,-
Gunnar Helm,TEN,TE42,22
Jake Moody,SF,K4,25
Raheem Mostert,LV,RB86,33
Kimani Vidal,LAC,RB87,23
Jacory Croskey-Merritt,WAS,RB88,24
Joshua Karty,LAR,K5,23
Blake Grupe,NO,K6,26
Matt Gay,WAS,K7,31
Luke Musgrave,GB,TE43,24
Younghoe Koo,ATL,K8,31
Sean Tucker,TB,RB89,23
Kirk Cousins,ATL,QB36,36
Javon Baker,NE,WR115,23
Taysom Hill,NO,TE44,34
Arizona Cardinals,ARI,DST5,-
Gabe Davis,FA,WR116,26
Jaylin Lane,WAS,WR117,23
New England Patriots,NE,DST6,-
Will Dissly,LAC,TE45,29
Cam Little,JAC,K9,21
Buffalo Bills,BUF,DST7,-
Minnesota Vikings,MIN,DST8,-
Dallas Cowboys,DAL,DST9,-
Brandon McManus,GB,K10,34
Kenneth Gainwell,PIT,RB90,26
Sincere McCormick,LV,RB91,24
Chimere Dike,TEN,WR118,23
Washington Commanders,WAS,DST10,-
Chris Boswell,PIT,K11,34
Houston Texans,HOU,DST11,-
Demarcus Robinson,SF,WR119,30
Cameron Dicker,LAC,K12,25
Baltimore Ravens,BAL,DST12,-
Will Howard,PIT,QB37,23
Wil Lutz,DEN,K13,31
Miami Dolphins,MIA,DST13,-
Cade Stover,HOU,TE46,25
Isaiah Bond,FA,WR120,-
Malachi Corley,NYJ,WR121,23
Jameis Winston,NYG,QB38,31
Ty Johnson,BUF,RB92,27
Jahan Dotson,PHI,WR122,25
Alexander Mattison,MIA,RB93,27
Dillon Gabriel,CLE,QB39,24
Spencer Rattler,NO,QB40,24
Ka'imi Fairbairn,HOU,K14,31
Dameon Pierce,HOU,RB94,25
Evan McPherson,CIN,K15,26
Green Bay Packers,GB,DST14,-
Tyler Bass,BUF,K16,28
KeAndre Lambert-Smith,LAC,WR123,23
Jalin Hyatt,NYG,WR124,23
Curtis Samuel,BUF,WR125,29
AJ Barner,SEA,TE47,23
Daniel Carlson,LV,K17,30
New Orleans Saints,NO,DST15,-
Jalen Nailor,MIN,WR126,26
Jake Bates,DET,K18,26
Seattle Seahawks,SEA,DST16,-
Jake Elliott,PHI,K19,30
John Metchie III,HOU,WR127,25
Will Levis,TEN,QB41,26
Greg Zuerlein,FA,K20,37
Los Angeles Chargers,LAC,DST17,-
Atlanta Falcons,ATL,DST18,-
Joe Flacco,CLE,QB42,40
Joe Milton III,DAL,QB43,25
LeQuint Allen Jr.,JAC,RB95,21
A.J. Dillon,PHI,RB96,27
Dawson Knox,BUF,TE48,28
Detroit Lions,DET,DST19,-
Erick All Jr.,CIN,TE49,24
Cam Akers,NO,RB97,26
Noah Brown,WAS,WR128,29
Dustin Hopkins,CLE,K21,34
Devontez Walker,BAL,WR129,24
Kansas City Chiefs,KC,DST20,-
Mason Rudolph,PIT,QB44,30
New York Jets,NYJ,DST21,-
Jason Sanders,MIA,K22,29
Zamir White,LV,RB98,25
Ricky White III,SEA,WR130,23
Darnell Washington,PIT,TE50,23
Treylon Burks,TEN,WR131,25
Jacob Cowing,SF,WR132,24
Chicago Bears,CHI,DST22,-
Justin Tucker,FA,K23,35
Ray-Ray McCloud III,ATL,WR133,28
San Francisco 49ers,SF,DST23,-
Thomas Fidone II,NYG,TE51,22
Deshaun Watson,CLE,QB45,29
Mac Jones,SF,QB46,26
Kenny Pickett,CLE,QB47,27
Darren Waller,MIA,TE52,32
Arian Smith,NYJ,WR134,23
Chase McLaughlin,TB,K24,29
Cairo Santos,CHI,K25,33
Greg Dortch,ARI,WR135,27
Kalel Mullings,TEN,RB99,22
Tennessee Titans,TEN,DST24,-
Ty Chandler,MIN,RB100,27
Las Vegas Raiders,LV,DST25,-
Aidan O'Connell,LV,QB48,26
Efton Chism III,NE,WR136,-
Raheim Sanders,LAC,RB101,23
Phil Mafah,DAL,RB102,22
KaVontae Turpin,DAL,WR137,29
Tim Patrick,DET,WR138,31
Josh Reynolds,NYJ,WR139,30
Jake Browning,CIN,QB49,29
Jonathan Mingo,DAL,WR140,24
Luke Schoonmaker,DAL,TE53,26
Mitchell Evans,CAR,TE54,22
Jason Myers,SEA,K26,34
Cleveland Browns,CLE,DST26,-
New York Giants,NYG,DST27,-
Mack Hollins,NE,WR141,31
Eddy Pineiro,FA,K27,29
Marquez Valdes-Scantling,SEA,WR142,30
Marcus Mariota,WAS,QB50,31
Jordan Watkins,SF,WR143,23
Austin Hooper,NE,TE55,30
Sam Howell,MIN,QB51,24
Zach Wilson,MIA,QB52,26
Cincinnati Bengals,CIN,DST28,-
Gavin Bartholomew,MIN,TE56,22
Allen Lazard,NYJ,WR144,29
Kendrick Bourne,NE,WR145,30
Gardner Minshew II,KC,QB53,29
Nick Nash,ATL,WR146,25
Malik Willis,GB,QB54,26
Daniel Bellinger,NYG,TE57,24
Chris Rodriguez Jr.,WAS,RB103,25
Jake Bobo,SEA,WR147,27
Emanuel Wilson,GB,RB104,26
Indianapolis Colts,IND,DST29,-
Marcus Yarns,NO,RB105,23
Chris Brooks,GB,RB106,25
Jelani Woods,IND,TE58,26
Tampa Bay Buccaneers,TB,DST30,-
Tommy Tremble,CAR,TE59,25
Grant Calcaterra,PHI,TE60,26
Donovan Edwards,NYJ,RB107,22
Quinn Ewers,MIA,QB55,22
Luke Lachey,HOU,TE61,24
Colby Parkinson,LAR,TE62,26
Jeremy Ruckert,NYJ,TE63,24
Samaje Perine,CIN,RB108,29
Foster Moreau,NO,TE64,28
Chad Ryland,ARI,K28,25
Mitchell Trubisky,BUF,QB56,30
Carolina Panthers,CAR,DST31,-
Trey Palmer,TB,WR148,24
Riley Leonard,IND,QB57,22
Jacoby Brissett,ARI,QB58,32
Elijah Higgins,ARI,TE65,24
Jacksonville Jaguars,JAC,DST32,-
Trey Sermon,PIT,RB109,26
Gus Edwards,FA,RB110,30
Kyle McCord,PHI,QB59,22
Konata Mumpfield,LAR,WR149,22
Hendon Hooker,DET,QB60,27
Hunter Long,JAC,TE66,26
Carson Steele,KC,RB111,22
Stone Smartt,NYJ,TE67,26
Zay Jones,ARI,WR150,30
Kalif Raymond,DET,WR151,31
Rondale Moore,MIN,WR152,25
Greg Dulcich,NYG,TE68,25
Rasheen Ali,BAL,RB112,24
Jimmy Garoppolo,LAR,QB61,33
Kylen Granson,PHI,TE69,27
Dylan Laube,LV,RB113,25
Michael Carter,ARI,RB114,26
Emari Demercado,ARI,RB115,26
Pierre Strong Jr.,CLE,RB116,26
Cooper Rush,BAL,QB62,31
Joshua Dobbs,NE,QB63,30
Trey Lance,LAC,QB64,25
Bub Means,NO,WR153,24
Clyde Edwards-Helaire,NO,RB117,26
Drew Lock,SEA,QB65,28
Israel Abanikanda,GB,RB118,22
Harrison Bryant,PHI,TE70,27
Brevin Jordan,HOU,TE71,25
Josh Oliver,MIN,TE72,28
Jared Wiley,KC,TE73,24
Luke Farrell,SF,TE74,27
Johnny Wilson,PHI,WR154,24
Adam Trautman,DEN,TE75,28
Dominic Lovett,DET,WR155,22