"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Austin Ekeler (WAS)","46","152","3.3","11","59.0%","13","15","86.7%","121","9.3","7","71.4%","0","16","135.3","8.5","62.0%"
"2","Jonathan Taylor (IND)","87","263","3.0","14","89.7%","3","4","75.0%","16","5.3","0","57.1%","0","17","111.9","6.6","98.3%"
"3","Joe Mixon (HOU)","42","142","3.4","12","89.4%","6","7","85.7%","24","4.0","2","50.0%","0","16","100.6","6.3","95.0%"
"4","James Conner (ARI)","40","122","3.1","14","65.6%","1","1","100.0%","13","13.0","0","12.5%","0","15","97.5","6.5","93.4%"
"5","Ezekiel Elliott (FA)","37","130","3.5","10","67.3%","12","17","70.6%","59","4.9","2","68.0%","0","17","91.1","5.4","5.0%"
"6","Damien Harris (FA)","42","139","3.3","12","51.9%","1","2","50.0%","3","3.0","0","14.3%","2","15","82.2","5.5","4.6%"
"7","Cordarrelle Patterson (FA)","33","119","3.6","6","60.0%","9","12","75.0%","86","9.6","4","63.2%","0","16","80.5","5.0","0.9%"
"8","Aaron Jones Sr. (MIN)","33","92","2.8","4","44.0%","12","15","80.0%","63","5.3","5","75.0%","0","15","69.5","4.6","90.1%"
"9","Leonard Fournette (FA)","41","109","2.7","6","69.5%","13","18","72.2%","64","4.9","2","69.2%","0","14","65.3","4.7","0.0%"
"10","Derrick Henry (BAL)","34","108","3.2","8","54.8%","2","2","100.0%","7","3.5","0","13.3%","0","8","63.7","8.0","98.7%"
"11","Melvin Gordon III (FA)","38","107","2.8","6","54.3%","6","8","75.0%","50","8.3","2","53.3%","0","16","63.7","4.0","0.0%"
"12","Alvin Kamara (NO)","34","83","2.4","3","54.0%","9","14","64.3%","70","7.8","5","63.6%","0","13","63.3","4.9","95.5%"
"13","Josh Jacobs (GB)","32","125","3.9","8","56.1%","3","5","60.0%","6","2.0","0","26.3%","0","15","61.1","4.1","98.5%"
"14","Najee Harris (LAC)","28","87","3.1","6","96.6%","8","14","57.1%","29","3.6","2","93.3%","0","17","59.6","3.5","68.3%"
"15","A.J. Dillon (PHI)","39","104","2.7","5","52.0%","5","5","100.0%","36","7.2","2","25.0%","0","17","56.0","3.3","5.6%"
"16","James Robinson (FA)","24","50","2.1","8","60.0%","2","2","100.0%","5","2.5","0","40.0%","0","14","53.5","3.8","0.0%"
"17","Antonio Gibson (NE)","42","49","1.2","6","71.2%","5","6","83.3%","24","4.8","2","60.0%","1","16","53.3","3.3","12.7%"
"18","Darrell Henderson Jr. (FA)","26","87","3.3","5","38.2%","3","9","33.3%","26","8.7","2","81.8%","0","12","53.3","4.4","0.0%"
"19","David Montgomery (DET)","42","77","1.8","7","67.7%","7","8","87.5%","41","5.9","0","80.0%","1","14","51.8","3.7","93.9%"
"20","Javonte Williams (DAL)","29","48","1.7","4","41.4%","6","7","85.7%","58","9.7","3","46.7%","1","17","50.6","3.0","72.2%"
"21","Nick Chubb (HOU)","39","138","3.5","5","53.4%","1","1","100.0%","5","5.0","1","12.5%","0","14","50.3","3.6","44.9%"
"22","Boston Scott (FA)","20","56","2.8","7","26.7%","0","1","0.0%","0","0","0","7.7%","0","11","47.6","4.3","0.0%"
"23","Myles Gaskin (FA)","32","76","2.4","3","58.2%","6","9","66.7%","20","3.3","3","60.0%","0","17","45.6","2.7","0.0%"
"24","Devonta Freeman (FA)","18","52","2.9","5","36.0%","6","8","75.0%","42","7.0","1","47.1%","0","16","45.4","2.8","0.0%"
"25","Darrel Williams (FA)","34","63","1.9","6","57.6%","6","9","66.7%","20","3.3","0","52.9%","0","17","44.3","2.6","0.0%"
"26","Devin Singletary (NYG)","34","120","3.5","5","52.3%","5","5","100.0%","14","2.8","0","33.3%","0","17","43.4","2.6","4.7%"
"27","Clyde Edwards-Helaire (NO)","14","63","4.5","4","23.7%","2","3","66.7%","11","5.5","2","17.6%","0","10","43.4","4.3","4.3%"
"28","Dalvin Cook (FA)","45","112","2.5","5","52.9%","2","3","66.7%","7","3.5","0","16.7%","0","13","41.9","3.2","0.6%"
"29","Latavius Murray (FA)","22","96","4.4","5","44.0%","2","4","50.0%","10","5.0","0","23.5%","0","14","40.6","2.9","0.0%"
"30","Kenneth Gainwell (PIT)","10","40","4.0","4","13.3%","7","8","87.5%","56","8.0","1","61.5%","0","16","39.6","2.5","2.1%"
"31","Elijah Mitchell (KC)","19","73","3.8","4","51.4%","2","2","100.0%","20","10.0","1","13.3%","0","12","39.3","3.3","5.3%"
"32","Sony Michel (FA)","41","88","2.1","4","60.3%","1","2","50.0%","3","3.0","1","18.2%","0","17","39.1","2.3","0.0%"
"33","Zack Moss (FA)","26","60","2.3","4","40.0%","4","6","66.7%","27","6.8","1","40.0%","0","13","38.7","3.0","16.3%"
"34","Rhamondre Stevenson (NE)","25","70","2.8","5","30.9%","1","2","50.0%","0","0.0","0","14.3%","0","12","37.0","3.1","77.0%"
"35","Alexander Mattison (MIA)","31","80","2.6","3","36.5%","3","8","37.5%","15","5.0","1","44.4%","0","16","33.5","2.1","8.4%"
"36","Mike Davis (FA)","18","68","3.8","3","32.7%","2","6","33.3%","5","2.5","1","31.6%","0","17","31.3","1.8","1.0%"
"37","Chuba Hubbard (CAR)","24","69","2.9","4","55.8%","0","2","0.0%","0","0","0","33.3%","0","16","30.9","1.9","95.0%"
"38","Michael Carter (ARI)","25","57","2.3","4","42.4%","2","2","100.0%","6","3.0","0","16.7%","0","14","30.3","2.2","1.1%"
"39","Kareem Hunt (KC)","17","40","2.4","4","23.3%","2","4","50.0%","10","5.0","0","50.0%","0","8","29.0","3.6","25.5%"
"40","Jordan Howard (FA)","24","76","3.2","3","32.0%","1","1","100.0%","9","9.0","0","7.7%","0","7","26.5","3.8","0.0%"
"41","Ronald Jones II (FA)","14","39","2.8","4","23.7%","0","1","0.0%","0","0","0","3.8%","1","15","25.9","1.7","0.0%"
"42","D'Andre Swift (CHI)","19","24","1.3","3","39.6%","7","10","70.0%","41","5.9","0","90.9%","0","13","24.5","1.9","90.2%"
"43","Devontae Booker (FA)","16","54","3.4","2","51.6%","2","2","100.0%","10","5.0","1","28.6%","0","16","24.4","1.5","0.0%"
"44","Ty Johnson (BUF)","12","15","1.3","2","20.3%","3","4","75.0%","37","12.3","1","33.3%","0","15","23.2","1.5","3.5%"
"45","Justin Jackson (FA)","20","84","4.2","2","25.6%","5","5","100.0%","26","5.2","0","23.8%","0","14","23.0","1.6","0.0%"
"46","Rashaad Penny (FA)","16","50","3.1","3","29.6%","0","1","0.0%","0","0","0","14.3%","0","10","23.0","2.3","0.0%"
"47","J.D. McKissic (FA)","6","28","4.7","2","10.2%","3","3","100.0%","13","4.3","1","30.0%","0","11","22.1","2.0","1.0%"
"48","Jamaal Williams (FA)","23","35","1.5","3","47.9%","0","0","0%","0","0","0","0.0%","0","13","21.5","1.7","1.1%"
"49","Saquon Barkley (PHI)","12","17","1.4","2","38.7%","1","3","33.3%","18","18.0","1","42.9%","0","14","21.5","1.5","99.0%"
"50","Giovani Bernard (FA)","1","1","1.0","0","1.7%","4","7","57.1%","27","6.8","3","26.9%","0","10","20.8","2.1","0.0%"
"51","Kenyan Drake (FA)","12","63","5.3","2","21.1%","4","6","66.7%","25","6.3","0","31.6%","0","12","20.8","1.7","1.1%"
"52","Chase Edmonds (FA)","20","57","2.9","2","32.8%","7","7","100.0%","25","3.6","0","87.5%","0","12","20.2","1.7","0.0%"
"53","D'Onta Foreman (FA)","20","66","3.3","2","32.3%","1","1","100.0%","11","11.0","0","6.7%","0","9","19.7","2.2","2.7%"
"54","D'Ernest Johnson (BAL)","14","54","3.9","2","19.2%","1","1","100.0%","6","6.0","0","12.5%","0","13","18.0","1.4","1.0%"
"55","Mark Ingram II (FA)","25","54","2.2","2","39.7%","1","5","20.0%","5","5.0","0","22.7%","0","14","17.9","1.3","0.6%"
"56","Alex Collins (FA)","13","48","3.7","2","24.1%","0","0","0%","0","0","0","0.0%","0","11","16.8","1.5","19.0%"
"57","Peyton Barber (FA)","11","29","2.6","2","19.3%","3","3","100.0%","16","5.3","0","15.8%","0","10","16.5","1.7","1.0%"
"58","Matt Breida (FA)","3","18","6.0","1","4.6%","3","3","100.0%","24","8.0","1","20.0%","0","7","16.2","2.3","0.0%"
"59","Nyheim Miller-Hines (LAC)","5","23","4.6","1","5.2%","3","3","100.0%","18","6.0","1","42.9%","0","17","16.1","0.9","0.0%"
"60","DeeJay Dallas (ARI)","6","35","5.8","2","11.1%","2","2","100.0%","5","2.5","0","28.6%","0","17","16.0","0.9","0.1%"
"61","Kyle Juszczyk (SF)","3","12","4.0","1","8.1%","3","5","60.0%","28","9.3","1","33.3%","0","15","16.0","1.1","0.9%"
"62","Khalil Herbert (IND)","12","43","3.6","2","19.4%","2","2","100.0%","-4","-2.0","0","20.0%","0","16","15.9","1.0","3.9%"
"63","Rex Burkhead (FA)","14","23","1.6","2","50.0%","2","3","66.7%","10","5.0","0","30.0%","0","15","15.3","1.0","10.0%"
"64","Christian McCaffrey (SF)","19","54","2.8","1","44.2%","3","3","100.0%","39","13.0","0","50.0%","0","7","15.3","2.2","98.5%"
"65","Tony Pollard (TEN)","16","50","3.1","1","29.1%","6","7","85.7%","37","6.2","0","28.0%","0","15","14.7","1.0","88.9%"
"66","Damien Williams (FA)","8","23","2.9","2","12.9%","0","0","0%","0","0","0","0.0%","0","12","14.3","1.2","0.0%"
"67","Jaret Patterson (LAC)","6","22","3.7","2","10.2%","0","0","0%","0","0","0","0.0%","0","14","14.2","1.0","0.0%"
"68","Jeff Wilson Jr. (FA)","10","19","1.9","2","27.0%","2","3","66.7%","1","0.5","0","20.0%","0","9","14.0","1.6","1.0%"
"69","Elijhaa Penny (FA)","3","14","4.7","1","9.7%","2","2","100.0%","4","2.0","1","28.6%","0","13","13.8","1.1","0.0%"
"70","Chris Carson (FA)","7","18","2.6","2","13.0%","0","0","0%","0","0","0","0.0%","0","4","13.8","3.5","0.3%"
"71","Duke Johnson Jr. (FA)","7","15","2.1","2","12.7%","0","0","0%","0","0","0","0.0%","0","5","13.5","2.7","0.0%"
"72","Adrian Peterson (FA)","9","15","1.7","2","16.7%","1","1","100.0%","-1","-1.0","0","14.3%","0","4","13.4","3.4","2.0%"
"73","Le'Veon Bell (FA)","6","11","1.8","2","12.0%","0","0","0%","0","0","0","0.0%","0","8","13.1","1.6","0.2%"
"74","Brandon Bolden (FA)","7","8","1.1","0","8.6%","8","8","100.0%","56","7.0","1","57.1%","0","16","12.4","0.8","0.0%"
"75","J.J. Taylor (HOU)","5","3","0.6","2","6.2%","0","0","0%","0","0","0","0.0%","0","5","12.3","2.5","1.0%"
"76","Jeremy McNichols (WAS)","5","19","3.8","0","8.1%","4","7","57.1%","27","6.8","1","46.7%","0","13","10.6","0.8","0.7%"
"77","Samaje Perine (CIN)","2","10","5.0","0","4.3%","5","5","100.0%","31","6.2","1","35.7%","0","15","10.1","0.7","3.6%"
"78","Austin Walter (FA)","9","31","3.4","1","15.3%","0","0","0%","0","0","0","0.0%","0","4","9.1","2.3","0.0%"
"79","Derrick Gore (FA)","8","26","3.3","1","13.6%","1","1","100.0%","3","3.0","0","5.9%","0","8","8.9","1.1","0.0%"
"80","David Johnson (FA)","7","5","0.7","0","25.0%","3","7","42.9%","15","5.0","1","70.0%","0","13","8.0","0.6","0.0%"
"81","JaMycal Hasty (NE)","4","8","2.0","1","10.8%","3","5","60.0%","10","3.3","0","33.3%","0","11","7.8","0.7","1.1%"
"82","Carlos Hyde (FA)","12","32","2.7","1","30.0%","1","1","100.0%","4","4.0","0","20.0%","1","12","7.6","0.6","0.0%"
"83","James White (FA)","2","14","7.0","1","2.5%","1","1","100.0%","-1","-1.0","0","7.1%","0","3","7.3","2.4","0.1%"
"84","Deon Jackson (FA)","3","13","4.3","1","3.1%","0","0","0%","0","0","0","0.0%","0","5","7.3","1.5","0.0%"
"85","Phillip Lindsay (FA)","6","12","2.0","1","10.9%","0","1","0.0%","0","0","0","6.7%","0","14","7.2","0.5","0.0%"
"86","Michael Burton (DEN)","3","12","4.0","1","5.1%","1","1","100.0%","0","0.0","0","5.9%","0","10","7.2","0.7","0.1%"
"87","Jonathan Williams (FA)","4","11","2.8","1","6.8%","0","0","0%","0","0","0","0.0%","0","5","7.1","1.4","0.0%"
"88","Tevin Coleman (FA)","13","44","3.4","0","22.0%","5","6","83.3%","24","4.8","0","50.0%","0","11","6.8","0.6","0.0%"
"89","Jermar Jefferson (TEN)","2","8","4.0","1","4.2%","0","0","0%","0","0","0","0.0%","0","5","6.8","1.4","0.6%"
"90","Dare Ogunbowale (HOU)","4","8","2.0","1","10.0%","0","2","0.0%","0","0","0","40.0%","0","13","6.8","0.5","1.5%"
"91","Larry Rountree III (FA)","7","7","1.0","1","9.0%","0","0","0%","0","0","0","0.0%","0","10","6.7","0.7","0.0%"
"92","Alec Ingold (MIA)","1","0","0.0","0","1.8%","2","3","66.7%","4","2.0","1","15.8%","0","7","6.4","0.9","0.6%"
"93","Alex Armah Jr. (FA)","1","3","3.0","0","1.7%","1","1","100.0%","1","1.0","1","10.0%","0","10","6.4","0.6","0.0%"
"94","Trey Sermon (PIT)","1","1","1.0","1","2.7%","0","0","0%","0","0","0","0.0%","0","6","6.1","1.0","0.6%"
"95","Johnny Stanton IV (FA)","1","0","0.0","0","1.4%","1","1","100.0%","1","1.0","1","12.5%","0","3","6.1","2.0","0.0%"
"96","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","2","50.0%","1","1.0","1","11.8%","0","8","6.1","0.8","0.8%"
"97","Andy Janovich (FA)","2","0","0.0","1","2.7%","0","0","0%","0","0","0","0.0%","0","6","6.0","1.0","0.0%"
"98","Miles Sanders (DAL)","21","31","1.5","0","28.0%","3","3","100.0%","9","3.0","0","23.1%","0","12","4.0","0.3","10.9%"
"99","Ty'Son Williams (FA)","4","21","5.3","0","8.0%","2","3","66.7%","15","7.5","0","17.6%","0","8","3.6","0.5","1.2%"
"100","Salvon Ahmed (IND)","3","17","5.7","0","5.5%","1","3","33.3%","9","9.0","0","20.0%","0","11","2.6","0.2","0.0%"
"101","Dontrell Hilliard (FA)","3","2","0.7","0","4.8%","4","5","80.0%","22","5.5","0","33.3%","0","8","2.4","0.3","0.0%"
"102","Tony Jones Jr. (FA)","4","19","4.8","0","6.3%","1","1","100.0%","3","3.0","0","4.5%","0","10","2.2","0.2","0.0%"
"103","Travis Homer (CHI)","3","11","3.7","0","5.6%","2","3","66.7%","9","4.5","0","42.9%","0","14","2.0","0.1","0.6%"
"104","Jerick McKinnon (FA)","0","0","0","0","0.0%","2","3","66.7%","19","9.5","0","17.6%","0","9","1.9","0.2","0.0%"
"105","Royce Freeman (FA)","6","16","2.7","0","21.4%","0","0","0%","0","0","0","0.0%","0","12","1.6","0.1","0.0%"
"106","Ameer Abdullah (SF)","4","5","1.3","0","4.7%","3","5","60.0%","10","3.3","0","27.8%","0","17","1.5","0.1","0.6%"
"107","Chris Evans (FA)","1","1","1.0","0","2.1%","1","2","50.0%","14","14.0","0","14.3%","0","9","1.5","0.2","0.0%"
"108","Malcolm Brown (FA)","7","10","1.4","0","12.7%","1","1","100.0%","4","4.0","0","6.7%","0","6","1.4","0.2","0.0%"
"109","Ke'Shawn Vaughn (FA)","3","12","4.0","0","5.1%","0","0","0%","0","0","0","0.0%","0","6","1.2","0.2","0.0%"
"110","Marlon Mack (FA)","2","11","5.5","0","2.1%","0","0","0%","0","0","0","0.0%","0","6","1.1","0.2","0.0%"
"111","C.J. Ham (MIN)","2","1","0.5","0","2.4%","1","1","100.0%","9","9.0","0","5.6%","0","15","1.0","0.1","0.6%"
"112","Qadree Ollison (FA)","2","5","2.5","0","3.6%","1","1","100.0%","4","4.0","0","5.3%","0","6","0.9","0.2","0.0%"
"113","Ty Montgomery II (FA)","0","0","0","0","0.0%","2","2","100.0%","8","4.0","0","9.1%","0","14","0.8","0.1","0.0%"
"114","Patrick Taylor Jr. (SF)","3","8","2.7","0","4.0%","0","0","0%","0","0","0","0.0%","0","5","0.8","0.2","0.7%"
"115","Damarea Crockett (FA)","3","7","2.3","0","4.3%","0","0","0%","0","0","0","0.0%","0","1","0.7","0.7","0.0%"
"116","Reggie Bonnafon (FA)","0","0","0","0","0.0%","1","1","100.0%","6","6.0","0","16.7%","0","1","0.6","0.6","0.0%"
"117","Godwin Igwebuike (FA)","1","6","6.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","15","0.6","0.0","0.0%"
"118","Jalen Richard (FA)","1","1","1.0","0","1.8%","1","2","50.0%","5","5.0","0","10.5%","0","9","0.6","0.1","1.0%"
"119","Patrick Laird (FA)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","0","6.7%","0","3","0.5","0.2","0.0%"
"120","Corey Clement (FA)","2","3","1.5","0","3.6%","1","1","100.0%","2","2.0","0","4.0%","0","11","0.5","0.0","0.0%"
"121","Craig Reynolds (DET)","3","4","1.3","0","6.3%","0","0","0%","0","0","0","0.0%","0","5","0.4","0.1","1.1%"
"122","Benny Snell Jr. (FA)","1","4","4.0","0","3.4%","0","0","0%","0","0","0","0.0%","0","16","0.4","0.0","0.0%"
"123","Eno Benjamin (FA)","1","2","2.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","8","0.2","0.0","0.0%"
"124","Kene Nwangwu (NYJ)","3","2","0.7","0","3.5%","0","1","0.0%","0","0","0","5.6%","0","9","0.2","0.0","0.0%"
"125","Reggie Gilliam (BUF)","2","2","1.0","0","3.1%","0","1","0.0%","0","0","0","6.7%","0","8","0.2","0.0","0.0%"
"126","Jakob Johnson (HOU)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","7.1%","0","7","0.2","0.0","0.0%"
"127","Scottie Phillips (FA)","1","1","1.0","0","3.6%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"128","Wayne Gallman Jr. (FA)","1","1","1.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","9","0.1","0.0","0.0%"
"129","Darrynton Evans (BUF)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"130","Avery Williams (PHI)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","15","0.0","0.0","0.6%"
"131","Kalen Ballage (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","6.7%","0","9","0.0","0.0","0.0%"
"132","Keith Smith (FA)","1","0","0.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","13","0.0","0.0","0.0%"
"133","Demetric Felton Jr. (WAS)","0","0","0","0","0.0%","1","1","100.0%","0","0.0","0","12.5%","0","15","0.0","0.0","0.0%"
"134","Brandin Bryant (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"135","Cam Akers (NO)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","2.9%"
"136","Trenton Cannon (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"137","Trayveon Williams (CLE)","2","-1","-0.5","0","4.3%","0","0","0%","0","0","0","0.0%","0","4","-0.1","0.0","0.0%"
"138","Jake Funk (FA)","1","-1","-1.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","5","-0.1","0.0","0.0%"
"139","Joshua Kelley (FA)","5","13","2.6","0","6.4%","0","1","0.0%","0","0","0","4.8%","1","8","-0.7","-0.1","0.0%"
""
""