"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Justin Jefferson (MIN)","14","28","50.0%","111","7.9","6","46.7%","1","3","1","100.0%","0","17","53.4","3.1","99.0%"
"2","Christian Kirk (HOU)","13","22","59.1%","98","7.5","7","40.0%","0","0","0","0.0%","0","17","51.8","3.0","38.7%"
"3","Stefon Diggs (NE)","11","23","47.8%","91","8.3","7","45.1%","0","0","0","0.0%","0","17","51.1","3.0","84.6%"
"4","Amon-Ra St. Brown (DET)","13","21","61.9%","98","7.5","6","43.8%","4","12","0","80.0%","0","16","47.0","2.9","99.5%"
"5","Brandon Aiyuk (SF)","10","15","66.7%","75","7.5","6","48.4%","0","0","0","0.0%","0","17","43.5","2.6","63.7%"
"6","Ja'Marr Chase (CIN)","14","25","56.0%","133","9.5","5","45.5%","1","-1","0","33.3%","0","13","43.2","3.3","99.4%"
"7","Amari Cooper (FA)","7","18","38.9%","66","9.4","6","52.9%","0","0","0","0%","0","17","42.6","2.5","13.3%"
"8","Christian Watson (GB)","9","14","64.3%","55","6.1","4","29.2%","3","25","1","100.0%","0","14","38.0","2.7","18.8%"
"9","Cooper Kupp (SEA)","8","11","72.7%","56","7.0","4","26.2%","1","20","1","14.3%","0","9","37.6","4.2","86.5%"
"10","DK Metcalf (PIT)","9","27","33.3%","69","7.7","5","60.0%","0","0","0","0%","0","17","36.9","2.2","95.9%"
"11","DeVonta Smith (PHI)","7","12","58.3%","64","9.1","5","36.4%","0","0","0","0.0%","0","17","36.4","2.1","93.2%"
"12","Jerry Jeudy (CLE)","7","11","63.6%","59","8.4","5","36.7%","0","0","0","0.0%","0","15","35.9","2.4","89.0%"
"13","DJ Moore (CHI)","6","11","54.5%","56","9.3","5","45.8%","1","1","0","100.0%","0","17","35.7","2.1","94.3%"
"14","Jahan Dotson (PHI)","6","8","75.0%","55","9.2","5","22.9%","0","0","0","0.0%","0","12","35.5","3.0","7.2%"
"15","Mecole Hardman Jr. (GB)","8","10","80.0%","52","6.5","4","25.0%","1","3","1","50.0%","0","8","35.5","4.4","1.0%"
"16","Isaiah McKenzie (FA)","6","13","46.2%","50","8.3","4","25.5%","2","2","1","100.0%","0","16","35.2","2.2","0.0%"
"17","CeeDee Lamb (DAL)","11","15","73.3%","86","7.8","4","36.6%","1","6","0","50.0%","0","17","33.2","2.0","98.7%"
"18","Mike Williams (FA)","7","12","58.3%","75","10.7","4","29.3%","0","0","0","0%","0","13","31.5","2.4","13.7%"
"19","Adam Thielen (CAR)","13","19","68.4%","75","5.8","4","31.7%","0","0","0","0.0%","0","17","31.5","1.9","39.0%"
"20","Curtis Samuel (BUF)","6","11","54.5%","47","7.8","3","31.4%","7","26","1","100.0%","0","17","31.3","1.8","8.8%"
"21","A.J. Brown (PHI)","7","15","46.7%","70","10.0","4","45.5%","0","0","0","0.0%","0","17","31.0","1.8","99.0%"
"22","Russell Gage Jr. (SF)","10","16","62.5%","66","6.6","4","25.8%","0","0","0","0.0%","0","13","30.6","2.4","0.0%"
"23","Zay Jones (ARI)","8","17","47.1%","57","7.1","4","30.9%","2","7","0","50.0%","0","16","30.4","1.9","2.5%"
"24","Tee Higgins (CIN)","7","12","58.3%","63","9.0","4","21.8%","0","0","0","0.0%","0","15","30.3","2.0","97.6%"
"25","Allen Lazard (NYJ)","9","17","52.9%","57","6.3","4","35.4%","0","0","0","0.0%","0","15","29.7","2.0","3.9%"
"26","Richie James Jr. (FA)","7","7","100.0%","55","7.9","4","23.3%","0","0","0","0%","0","16","29.5","1.8","0.0%"
"27","Tyler Boyd (FA)","7","10","70.0%","54","7.7","4","18.2%","0","0","0","0.0%","0","17","29.4","1.7","2.4%"
"28","Michael Gallup (WAS)","7","12","58.3%","52","7.4","4","29.3%","0","0","0","0.0%","0","14","29.2","2.1","0.6%"
"29","K.J. Osborn (WAS)","8","11","72.7%","50","6.3","4","18.3%","0","0","0","0.0%","0","17","29.0","1.7","1.4%"
"30","Tyreek Hill (MIA)","6","10","60.0%","42","7.0","3","34.5%","2","1","1","100.0%","0","17","28.3","1.7","97.6%"
"31","Davante Adams (LAR)","10","21","47.6%","39","3.9","4","51.2%","0","0","0","0.0%","0","17","27.9","1.6","96.5%"
"32","Jaylen Waddle (MIA)","4","8","50.0%","36","9.0","4","27.6%","0","0","0","0.0%","0","17","27.6","1.6","89.4%"
"33","Isaiah Hodgins (SF)","6","6","100.0%","35","5.8","4","20.0%","0","0","0","0%","0","9","27.5","3.1","0.0%"
"34","Drake London (ATL)","7","14","50.0%","45","6.4","4","66.7%","0","0","0","0%","1","17","26.5","1.6","98.1%"
"35","Chris Godwin (TB)","10","15","66.7%","65","6.5","3","24.2%","2","3","0","100.0%","0","15","24.8","1.7","87.8%"
"36","Marvin Jones Jr. (FA)","6","10","60.0%","66","11.0","3","18.2%","0","0","0","0.0%","0","16","24.6","1.5","0.0%"
"37","Devin Duvernay (CHI)","5","8","62.5%","36","7.2","2","29.6%","3","24","1","100.0%","0","14","24.0","1.7","0.1%"
"38","Gabe Davis (FA)","6","14","42.9%","60","10.0","3","27.5%","0","0","0","0.0%","0","15","24.0","1.6","12.6%"
"39","Michael Pittman Jr. (IND)","8","12","66.7%","57","7.1","3","35.3%","0","0","0","0.0%","0","16","23.7","1.5","70.2%"
"40","Noah Brown (WAS)","9","13","69.2%","76","8.4","3","31.7%","0","0","0","0.0%","1","16","23.6","1.5","3.4%"
"41","Romeo Doubs (GB)","6","8","75.0%","55","9.2","3","16.7%","0","0","0","0.0%","0","13","23.5","1.8","28.3%"
"42","Jamal Agnew (ATL)","5","6","83.3%","26","5.2","3","10.9%","2","27","0","50.0%","0","15","23.3","1.6","0.0%"
"43","Garrett Wilson (NYJ)","5","19","26.3%","35","7.0","3","45.2%","1","7","0","33.3%","0","17","22.2","1.3","96.4%"
"44","Deebo Samuel Sr. (WAS)","7","12","58.3%","37","5.3","1","38.7%","7","25","2","100.0%","1","13","22.2","1.7","86.5%"
"45","Mike Evans (TB)","7","14","50.0%","40","5.7","3","22.6%","0","0","0","0.0%","0","15","22.0","1.5","97.3%"
"46","Tyquan Thornton (KC)","3","5","60.0%","17","5.7","2","22.7%","2","18","1","50.0%","0","12","21.5","1.8","0.0%"
"47","Josh Reynolds (NYJ)","6","13","46.2%","34","5.7","3","27.1%","0","0","0","0.0%","0","12","21.4","1.8","1.1%"
"48","Allen Robinson II (FA)","5","14","35.7%","33","6.6","3","33.3%","0","0","0","0.0%","0","10","21.3","2.1","1.4%"
"49","Braxton Berrios (HOU)","2","6","33.3%","7","3.5","0","14.3%","2","35","2","66.7%","0","17","20.3","1.2","0.6%"
"50","George Pickens (DAL)","2","7","28.6%","21","10.5","2","22.6%","1","1","1","20.0%","0","17","20.2","1.2","91.9%"
"51","Donovan Peoples-Jones (NO)","4","12","33.3%","20","5.0","3","35.3%","0","0","0","0%","0","17","20.0","1.2","0.0%"
"52","Michael Thomas (FA)","3","3","100.0%","19","6.3","3","10.7%","0","0","0","0%","0","3","19.9","6.6","1.2%"
"53","Chris Olave (NO)","7","11","63.6%","63","9.0","2","39.3%","0","0","0","0%","0","15","18.3","1.2","88.3%"
"54","Robert Woods (PIT)","8","14","57.1%","61","7.6","2","51.9%","0","0","0","0%","0","17","18.1","1.1","1.3%"
"55","Terry McLaurin (WAS)","8","11","72.7%","58","7.3","2","31.4%","0","0","0","0.0%","0","17","17.8","1.0","96.9%"
"56","Darnell Mooney (ATL)","5","7","71.4%","51","10.2","2","33.3%","1","2","0","50.0%","0","11","17.3","1.6","64.9%"
"57","Marquise Goodwin (FA)","4","5","80.0%","47","11.8","2","11.1%","0","0","0","0%","0","13","16.7","1.3","0.0%"
"58","Brandin Cooks (NO)","6","9","66.7%","43","7.2","2","31.0%","0","0","0","0%","0","13","16.3","1.3","11.2%"
"59","Tyler Lockett (TEN)","6","9","66.7%","41","6.8","2","20.0%","0","0","0","0%","0","16","16.1","1.0","12.8%"
"60","Mack Hollins (NE)","6","12","50.0%","39","6.5","2","29.3%","0","0","0","0.0%","0","17","15.9","0.9","2.8%"
"61","Chris Moore (WAS)","5","10","50.0%","33","6.6","2","34.5%","0","0","0","0%","0","15","15.3","1.0","0.0%"
"62","Shi Smith (FA)","2","5","40.0%","32","16.0","2","20.8%","0","0","0","0.0%","0","17","15.2","0.9","0.0%"
"63","Olamide Zaccheaus (CHI)","3","4","75.0%","30","10.0","2","19.0%","0","0","0","0%","0","17","15.0","0.9","1.6%"
"64","Marquez Valdes-Scantling (SEA)","3","11","27.3%","29","9.7","2","27.5%","0","0","0","0.0%","0","17","14.9","0.9","5.3%"
"65","Demarcus Robinson (SF)","4","9","44.4%","28","7.0","2","33.3%","0","0","0","0.0%","0","16","14.8","0.9","9.7%"
"66","Nick Westbrook-Ikhine (MIA)","3","7","42.9%","24","8.0","2","25.9%","0","0","0","0%","0","16","14.4","0.9","3.4%"
"67","Nico Collins (HOU)","3","8","37.5%","22","7.3","2","27.6%","0","0","0","0%","0","10","14.2","1.4","99.3%"
"68","Jakobi Meyers (LV)","4","7","57.1%","21","5.3","2","31.8%","0","0","0","0.0%","0","14","14.1","1.0","84.5%"
"69","Joshua Palmer (BUF)","4","8","50.0%","20","5.0","2","19.5%","0","0","0","0%","0","16","14.0","0.9","18.6%"
"70","Van Jefferson (TEN)","4","5","80.0%","20","5.0","2","11.9%","0","0","0","0.0%","0","10","14.0","1.4","1.8%"
"71","Trenton Irwin (JAC)","3","4","75.0%","18","6.0","2","7.3%","0","0","0","0.0%","0","9","13.8","1.5","0.0%"
"72","Kadarius Toney (FA)","5","5","100.0%","18","3.6","2","16.7%","0","0","0","0%","0","9","13.8","1.5","0.6%"
"73","Greg Dortch (ARI)","4","7","57.1%","15","3.8","2","16.7%","1","3","0","25.0%","0","16","13.8","0.9","4.6%"
"74","Parris Campbell (FA)","3","8","37.5%","16","5.3","2","23.5%","1","1","0","100.0%","0","17","13.7","0.8","0.1%"
"75","River Cracraft (FA)","2","3","66.7%","13","6.5","2","10.3%","0","0","0","0.0%","0","8","13.3","1.7","0.0%"
"76","JuJu Smith-Schuster (KC)","11","15","73.3%","66","6.0","1","37.5%","0","0","0","0.0%","0","16","12.6","0.8","1.8%"
"77","Julio Jones (FA)","5","11","45.5%","51","10.2","1","17.7%","0","0","0","0.0%","0","10","11.1","1.1","0.6%"
"78","Chase Claypool (FA)","2","6","33.3%","10","5.0","1","19.4%","1","0","0","20.0%","0","15","11.0","0.7","1.1%"
"79","Trent Sherfield Sr. (DEN)","6","8","75.0%","48","8.0","1","27.6%","0","0","0","0.0%","0","16","10.8","0.7","0.1%"
"80","Keenan Allen (LAC)","7","13","53.8%","39","5.6","1","31.7%","0","0","0","0%","0","10","9.9","1.0","21.1%"
"81","Ashton Dulin (IND)","3","4","75.0%","34","11.3","1","11.8%","0","0","0","0.0%","0","10","9.4","0.9","0.1%"
"82","Equanimeous St. Brown (SF)","2","4","50.0%","32","16.0","1","19.0%","0","0","0","0.0%","0","16","9.2","0.6","0.1%"
"83","Courtland Sutton (DEN)","4","12","33.3%","30","7.5","1","40.0%","0","0","0","0.0%","0","15","9.0","0.6","92.1%"
"84","Marquise Brown (KC)","6","12","50.0%","29","4.8","1","28.6%","0","0","0","0.0%","0","12","8.9","0.7","49.2%"
"85","Randall Cobb (FA)","3","7","42.9%","25","8.3","1","14.6%","0","0","0","0.0%","0","13","8.5","0.7","1.1%"
"86","Dax Milne (FA)","3","3","100.0%","24","8.0","1","8.6%","0","0","0","0.0%","0","15","8.4","0.6","0.0%"
"87","Hunter Renfrow (CAR)","2","4","50.0%","23","11.5","1","9.8%","0","0","0","0.0%","0","10","8.3","0.8","1.8%"
"88","DeAndre Hopkins (BAL)","3","6","50.0%","18","6.0","1","14.3%","0","0","0","0.0%","0","9","7.8","0.9","20.0%"
"89","Tre'Quan Smith (FA)","1","2","50.0%","18","18.0","1","7.1%","0","0","0","0%","0","10","7.8","0.8","0.0%"
"90","Velus Jones Jr. (NO)","1","2","50.0%","9","9.0","1","9.5%","1","8","0","50.0%","0","11","7.7","0.7","0.0%"
"91","Ben Skowronek (PIT)","0","3","0.0%","0","0","0","7.1%","1","17","1","14.3%","0","14","7.7","0.6","0.1%"
"92","N'Keal Harry (FA)","1","1","100.0%","17","17.0","1","4.8%","0","0","0","0.0%","0","6","7.7","1.3","0.0%"
"93","Marquez Callaway (FA)","2","5","40.0%","16","8.0","1","17.9%","0","0","0","0%","0","10","7.6","0.8","0.0%"
"94","Alec Pierce (IND)","1","5","20.0%","15","15.0","1","14.7%","0","0","0","0.0%","0","16","7.5","0.5","20.8%"
"95","Jarvis Landry (FA)","2","6","33.3%","15","7.5","1","21.4%","0","0","0","0%","0","9","7.5","0.8","7.1%"
"96","Corey Davis (FA)","2","8","25.0%","10","5.0","1","19.0%","0","0","0","0.0%","0","13","7.0","0.5","0.0%"
"97","Lawrence Cager (WAS)","1","1","100.0%","9","9.0","1","3.3%","0","0","0","0%","0","6","6.9","1.2","0.0%"
"98","Ray-Ray McCloud III (ATL)","1","1","100.0%","8","8.0","1","3.2%","0","0","0","0.0%","0","17","6.8","0.4","3.6%"
"99","Dante Pettis (NO)","2","5","40.0%","8","4.0","1","23.8%","0","0","0","0.0%","0","17","6.8","0.4","0.6%"
"100","Jauan Jennings (SF)","2","3","66.7%","6","3.0","1","9.7%","0","0","0","0.0%","0","16","6.6","0.4","83.4%"
"101","Kendrick Bourne (NE)","3","4","75.0%","14","4.7","1","18.2%","2","-8","0","50.0%","0","16","6.6","0.4","2.7%"
"102","A.J. Green (FA)","1","6","16.7%","6","6.0","1","14.3%","0","0","0","0.0%","0","13","6.6","0.5","0.7%"
"103","Wan'Dale Robinson (NYG)","1","2","50.0%","5","5.0","1","6.7%","0","0","0","0%","0","6","6.5","1.1","27.5%"
"104","Justin Watson (HOU)","1","3","33.3%","4","4.0","1","7.5%","0","0","0","0.0%","0","17","6.4","0.4","1.0%"
"105","Byron Pringle (FA)","1","1","100.0%","4","4.0","1","4.8%","0","0","0","0.0%","0","10","6.4","0.6","0.0%"
"106","DJ Chark Jr. (ATL)","1","3","33.3%","1","1.0","1","6.3%","0","0","0","0.0%","0","11","6.1","0.6","1.6%"
"107","Jalen Reagor (LAC)","1","1","100.0%","1","1.0","1","1.7%","0","0","0","0.0%","0","17","6.1","0.4","0.0%"
"108","Brandon Johnson (PIT)","1","2","50.0%","1","1.0","1","6.7%","0","0","0","0.0%","0","5","6.1","1.2","1.0%"
"109","Diontae Johnson (CLE)","7","16","43.8%","48","6.9","0","51.6%","2","5","0","40.0%","0","17","5.3","0.3","17.5%"
"110","Brandon Powell (FA)","5","6","83.3%","33","6.6","0","14.3%","3","20","0","42.9%","0","17","5.3","0.3","1.4%"
"111","Kalif Raymond (DET)","5","10","50.0%","39","7.8","0","20.8%","1","8","0","20.0%","0","17","4.7","0.3","1.1%"
"112","Nelson Agholor (FA)","2","3","66.7%","24","12.0","0","13.6%","0","0","0","0.0%","0","15","2.4","0.2","1.0%"
"113","Kendall Hinton (FA)","3","4","75.0%","22","7.3","0","13.3%","0","0","0","0.0%","0","11","2.2","0.2","0.0%"
"114","Treylon Burks (TEN)","2","4","50.0%","19","9.5","0","14.8%","0","0","0","0%","0","11","1.9","0.2","2.8%"
"115","David Sills (ATL)","2","2","100.0%","18","9.0","0","6.7%","0","0","0","0%","0","7","1.8","0.3","0.0%"
"116","Darius Slayton (NYG)","2","3","66.7%","16","8.0","0","10.0%","0","0","0","0%","0","15","1.6","0.1","9.9%"
"117","Scotty Miller (PIT)","3","5","60.0%","14","4.7","0","8.1%","0","0","0","0.0%","0","12","1.4","0.1","0.1%"
"118","Sammy Watkins (FA)","2","5","40.0%","13","6.5","0","18.5%","0","0","0","0.0%","0","9","1.3","0.1","0.0%"
"119","Elijah Moore (BUF)","3","7","42.9%","12","4.0","0","16.7%","0","0","0","0.0%","0","16","1.2","0.1","4.9%"
"120","David Bell (CLE)","2","2","100.0%","12","6.0","0","5.9%","0","0","0","0%","0","16","1.2","0.1","0.0%"
"121","DeAndre Carter (CLE)","3","7","42.9%","12","4.0","0","17.1%","0","0","0","0%","0","17","1.2","0.1","0.1%"
"122","Denzel Mims (FA)","1","1","100.0%","12","12.0","0","2.4%","0","0","0","0.0%","0","9","1.2","0.1","0.0%"
"123","Cam Sims (FA)","1","2","50.0%","12","12.0","0","5.7%","0","0","0","0.0%","0","13","1.2","0.1","0.0%"
"124","Laviska Shenault Jr. (BUF)","2","2","100.0%","11","5.5","0","8.3%","0","0","0","0.0%","0","13","1.1","0.1","0.1%"
"125","KJ Hamler (BUF)","0","0","0%","0","0","0","0.0%","1","9","0","50.0%","0","7","0.9","0.1","0.0%"
"126","Robbie Chosen (SF)","1","3","33.3%","9","9.0","0","7.1%","0","0","0","0.0%","0","12","0.9","0.1","0.0%"
"127","Gunner Olszewski (NYG)","1","1","100.0%","8","8.0","0","3.2%","0","0","0","0.0%","0","15","0.8","0.1","0.0%"
"128","Rashid Shaheed (NO)","1","1","100.0%","8","8.0","0","3.6%","0","0","0","0%","0","12","0.8","0.1","60.6%"
"129","Laquon Treadwell (IND)","2","2","100.0%","6","3.0","0","4.4%","0","0","0","0%","0","3","0.6","0.2","0.0%"
"130","DJ Turner (FA)","0","1","0.0%","0","0","0","2.4%","1","6","0","100.0%","0","6","0.6","0.1","1.0%"
"131","James Proche II (TEN)","1","2","50.0%","6","6.0","0","7.4%","0","0","0","0.0%","0","12","0.6","0.1","0.0%"
"132","Zach Pascal (NYG)","2","2","100.0%","6","3.0","0","6.1%","1","0","0","50.0%","0","15","0.6","0.0","0.0%"
"133","Trent Taylor (SF)","0","0","0%","0","0","0","0.0%","2","6","0","66.7%","0","16","0.6","0.0","0.0%"
"134","Bryan Edwards (FA)","2","3","66.7%","5","2.5","0","14.3%","0","0","0","0%","0","4","0.5","0.1","0.0%"
"135","Cody Hollister (FA)","1","1","100.0%","5","5.0","0","3.7%","0","0","0","0%","0","6","0.5","0.1","0.0%"
"136","Skyy Moore (KC)","1","1","100.0%","2","2.0","0","2.5%","1","3","0","50.0%","0","16","0.5","0.0","0.1%"
"137","Jalen Nailor (MIN)","1","1","100.0%","5","5.0","0","1.7%","0","0","0","0.0%","0","8","0.5","0.1","5.7%"
"138","Quez Watkins (ARI)","2","4","50.0%","1","0.5","0","12.1%","1","4","0","50.0%","0","17","0.5","0.0","0.0%"
"139","Jalen Tolbert (DAL)","1","1","100.0%","4","4.0","0","2.4%","0","0","0","0.0%","0","3","0.4","0.1","16.0%"
"140","Tutu Atwell (LAR)","1","2","50.0%","3","3.0","0","4.8%","2","1","0","28.6%","0","13","0.4","0.0","6.5%"
"141","Rashod Bateman (BAL)","1","1","100.0%","4","4.0","0","3.7%","0","0","0","0.0%","0","6","0.4","0.1","34.2%"
"142","Michael Bandy (DEN)","1","1","100.0%","4","4.0","0","2.4%","0","0","0","0%","0","8","0.4","0.1","0.0%"
"143","Michael Woods II (FA)","1","2","50.0%","4","4.0","0","5.9%","0","0","0","0%","0","8","0.4","0.1","0.0%"
"144","Dee Eskridge (MIA)","1","2","50.0%","3","3.0","0","4.4%","0","0","0","0%","0","9","0.3","0.0","0.0%"
"145","KaVontae Turpin (DAL)","0","0","0%","0","0","0","0.0%","1","3","0","50.0%","0","17","0.3","0.0","4.0%"
"146","Samori Toure (CHI)","1","1","100.0%","2","2.0","0","2.1%","0","0","0","0.0%","0","4","0.2","0.1","0.0%"
"147","Pharoh Cooper (FA)","0","0","0%","0","0","0","0.0%","1","2","0","25.0%","0","5","0.2","0.0","0.0%"
"148","Andy Isabella (FA)","0","0","0%","0","0","0","0.0%","1","1","0","25.0%","0","4","0.1","0.0","0.0%"
"149","Montrell Washington (NYG)","0","0","0%","0","0","0","0.0%","1","1","0","50.0%","0","15","0.1","0.0","0.0%"
"150","Terrace Marshall Jr. (PHI)","0","6","0.0%","0","0","0","25.0%","0","0","0","0.0%","0","13","0.0","0.0","0.6%"
"151","Khalil Shakir (BUF)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","10","0.0","0.0","83.2%"
"152","Michael Strachan (WAS)","0","4","0.0%","0","0","0","11.8%","0","0","0","0.0%","0","6","0.0","0.0","0.0%"
"153","Racey McMath (FA)","0","1","0.0%","0","0","0","3.7%","0","0","0","0%","0","4","0.0","0.0","0.0%"
"154","Britain Covey (LAR)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","17","0.0","0.0","0.0%"
"155","DeSean Jackson (FA)","0","2","0.0%","0","0","0","7.4%","0","0","0","0.0%","0","7","0.0","0.0","0.6%"
"156","Amari Rodgers (FA)","0","1","0.0%","0","0","0","2.1%","0","0","0","0.0%","0","15","0.0","0.0","1.0%"
"157","Ihmir Smith-Marsette (NYG)","0","1","0.0%","0","0","0","4.8%","0","0","0","0.0%","0","4","0.0","0.0","0.6%"
"158","Cole Beasley (FA)","0","1","0.0%","0","0","0","1.6%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"159","Jamison Crowder (FA)","0","1","0.0%","0","0","0","2.0%","0","0","0","0.0%","0","4","0.0","0.0","1.0%"
"160","Phillip Dorsett II (LV)","0","2","0.0%","0","0","0","6.9%","0","0","0","0%","0","15","0.0","0.0","0.0%"
"161","Sterling Shepard (TB)","0","1","0.0%","0","0","0","3.3%","0","0","0","0%","0","3","0.0","0.0","1.0%"
"162","Rashard Higgins (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"163","Marcus Johnson (FA)","0","3","0.0%","0","0","0","10.0%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"164","Mike Thomas (FA)","0","3","0.0%","0","0","0","5.5%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"165","Keelan Cole Sr. (FA)","0","3","0.0%","0","0","0","7.3%","0","0","0","0.0%","0","12","0.0","0.0","0.0%"
"166","KhaDarel Hodge (ATL)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","14","0.0","0.0","0.8%"
"167","Stanley Morgan Jr. (FA)","0","1","0.0%","0","0","0","1.8%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"168","Jeff Smith (FA)","0","1","0.0%","0","0","0","2.4%","0","0","0","0.0%","0","7","0.0","0.0","0.0%"
"169","Tom Kennedy (DET)","0","1","0.0%","0","0","0","2.1%","0","0","0","0.0%","0","7","0.0","0.0","0.1%"
"170","Tyrie Cleveland (FA)","0","1","0.0%","0","0","0","3.3%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"171","Dezmon Patmon (FA)","0","1","0.0%","0","0","0","2.9%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"172","Rondale Moore (MIN)","2","7","28.6%","4","2.0","0","16.7%","1","-4","0","25.0%","0","8","0.0","0.0","0.7%"
"173","Justyn Ross (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"174","Andre Baccellia (ARI)","0","1","0.0%","0","0","0","2.4%","0","0","0","0.0%","0","7","0.0","0.0","0.0%"
"175","Lance McCutcheon (PIT)","0","1","0.0%","0","0","0","2.4%","0","0","0","0.0%","0","4","0.0","0.0","0.0%"
"176","Steven Sims Jr. (SEA)","0","1","0.0%","0","0","0","3.2%","1","-1","0","20.0%","0","12","-0.1","0.0","0.0%"
"177","DeVante Parker (FA)","1","2","50.0%","-1","-1.0","0","9.1%","0","0","0","0.0%","0","13","-0.1","0.0","0.0%"
""
""